Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	G3Es3BnT-w4	774	10.6	https://www.youtube.com/watch?v=G3Es3BnT-w4&start=774&end=784     	Billy the Kid: Gun Battle
1	2	zcsMhuREKbw	8	12.4	https://www.youtube.com/watch?v=zcsMhuREKbw&start=8&end=20        	The Cat and the Mouse
1	3	VSNw9r83v6g	275	8.4	https://www.youtube.com/watch?v=VSNw9r83v6g&start=275&end=283     	Tender Land Suite: Finale
1	4	Vu_Q9ijKx8c	32.6	12	https://www.youtube.com/watch?v=Vu_Q9ijKx8c&start=32&end=44       	Saturday Night Waltz
1	5	RTIRe_65trY	16.2	5.4	https://www.youtube.com/watch?v=RTIRe_65trY&start=16&end=21       	Billy the Kid: Celebration Dance
1	6	8e3rVcSy3IQ	1056.4	7	https://www.youtube.com/watch?v=8e3rVcSy3IQ&start=1056&end=1063   	Appalachian Spring: Shaker Hymn
1	7	4NjssV8UuVA	22.9	10.4	https://www.youtube.com/watch?v=4NjssV8UuVA&start=22&end=33       	Fanfare for the Common Man
						
2	1	wZIG80RIflU	280.9	10	https://www.youtube.com/watch?v=wZIG80RIflU&start=280&end=290     	16 Waltzes Op. 39 No. 5
2	2	1EIE78D0m1g	49.9	8	https://www.youtube.com/watch?v=1EIE78D0m1g&start=49&end=57       	Variations on a Theme by Paganini: Var. 2
2	3	wfF2tznp0xs	8.6	12.6	https://www.youtube.com/watch?v=wfF2tznp0xs&start=8&end=21        	Violin Sonata No. 3 in D Minor, Mvt. 1
2	4	w_28Bm_GOAY	32	10	https://www.youtube.com/watch?v=w_28Bm_GOAY&start=32&end=42       	Piano Concerto No. 1, Mvt. 1
2	5	POW-u-RGspY	1892.9	8	https://www.youtube.com/watch?v=POW-u-RGspY&start=1892&end=1900   	Symphony No. 1, Mvt. 4
2	6	EBIKYRXGz2k	6	11	https://www.youtube.com/watch?v=EBIKYRXGz2k&start=6&end=17        	Lullaby
						
3	1	96aapx3DFdM	55	8	https://www.youtube.com/watch?v=96aapx3DFdM&start=55&end=63       	Saint-Saens: Le Rouet d'Omphale
3	2	a7d8DXb1kbI	242.6	11.1	https://www.youtube.com/watch?v=a7d8DXb1kbI&start=242&end=253     	Ravel: Tzigane
3	3	F2YKkBiQpzI	8.9	11.5	https://www.youtube.com/watch?v=F2YKkBiQpzI&start=8&end=20        	Saint-Saens: Cello Concerto in A minor, Mvt. 1
3	4	7IC20Awt6PY	11	10	https://www.youtube.com/watch?v=7IC20Awt6PY&start=11&end=21       	Lalo: Symphonie Espagnole, Mvt. 1
3	5	8Qx2lMaMsl8	0	12	https://www.youtube.com/watch?v=8Qx2lMaMsl8&start=0&end=12        	Delibes: Lakmé: Flower Duet
3	6	TEdSdtztfLQ	33.2	12	https://www.youtube.com/watch?v=TEdSdtztfLQ&start=33&end=45       	Debussy: The Girl with the Flaxen Hair
						
4	1	KU1X3Wut-k0	666	9	https://www.youtube.com/watch?v=KU1X3Wut-k0&start=666&end=675     	.
4	2	KU1X3Wut-k0	283	8.3	https://www.youtube.com/watch?v=KU1X3Wut-k0&start=283&end=291     	.
4	3	KU1X3Wut-k0	765	9.4	https://www.youtube.com/watch?v=KU1X3Wut-k0&start=765&end=774     	2nd Trumpet solo
4	4	KU1X3Wut-k0	410	10	https://www.youtube.com/watch?v=KU1X3Wut-k0&start=410&end=420     	Violin solo
4	5	KU1X3Wut-k0	464.5	10	https://www.youtube.com/watch?v=KU1X3Wut-k0&start=464&end=474     	1st Trumpet solo
4	6	KU1X3Wut-k0	30	8.3	https://www.youtube.com/watch?v=KU1X3Wut-k0&start=30&end=38       	Taxi horns
4	7	KU1X3Wut-k0	4	8	https://www.youtube.com/watch?v=KU1X3Wut-k0&start=4&end=12        	Beginning
						
5	1	ertt3o1x65c	40	8	https://www.youtube.com/watch?v=ertt3o1x65c&start=40&end=48       	Spanish Bombs
5	2	qsrEAWcAvRg	26	12	https://www.youtube.com/watch?v=qsrEAWcAvRg&start=26&end=38       	Lost in the Supermarket
5	3	MwzMuuGOsVI	42	10	https://www.youtube.com/watch?v=MwzMuuGOsVI&start=42&end=52       	Death or Glory
5	4	wqcizZebcaU	98	12	https://www.youtube.com/watch?v=wqcizZebcaU&start=98&end=110      	Guns of Brixton
5	5	4vHvzybkqfo	54	13	https://www.youtube.com/watch?v=4vHvzybkqfo&start=54&end=67       	London Calling
						
6	1	wqryZ-p1xBY	105	9.3	https://www.youtube.com/watch?v=wqryZ-p1xBY&start=105&end=114     	Rienzi: Overture
6	2	dytT5OnXU0A	99	11	https://www.youtube.com/watch?v=dytT5OnXU0A&start=99&end=110      	Tannhauser: Grand March
6	3	4IkQU5jco3E	226.6	8	https://www.youtube.com/watch?v=4IkQU5jco3E&start=226&end=234     	Die Walkure: Wintersturme
6	4	fuPDMhyGKB8	921	12	https://www.youtube.com/watch?v=fuPDMhyGKB8&start=921&end=933     	Tristan und Isolde: Liebestod
