Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	CQ3HreNp98o	5.8	9.4	https://www.youtube.com/watch?v=CQ3HreNp98o&start=5&end=15        	Prelude Op. 28 No. 18 in F minor
1	2	SKPkeX6Uc8Y	30	7.5	https://www.youtube.com/watch?v=SKPkeX6Uc8Y&start=30&end=37       	Prelude Op. 28 No. 5 in D major
1	3	XeX4X_1_lo0	109.5	9.5	https://www.youtube.com/watch?v=XeX4X_1_lo0&start=109&end=119     	Prelude Op. 28 No. 20 in C minor
1	4	QHcEH2Rliko	112.7	11	https://www.youtube.com/watch?v=QHcEH2Rliko&start=112&end=123     	Prelude Op. 28 No. 24 in D minor
1	5	KHGHhYZCIQI	0.6	11.2	https://www.youtube.com/watch?v=KHGHhYZCIQI&start=0&end=11        	Prelude Op. 28 No. 4 in E minor
1	6	6OFHXmiZP38	233.3	10.3	https://www.youtube.com/watch?v=6OFHXmiZP38&start=233&end=243     	Prelude Op. 28 No. 15 in D-flat major
						
2	1	nNUNNddnG6k	0.4	10	https://www.youtube.com/watch?v=nNUNNddnG6k&start=0&end=10        	Pete Townshend's Classic Quadrophenia 5:15
2	2	0Wa8q59JBno	768.5	13.5	https://www.youtube.com/watch?v=0Wa8q59JBno&start=768&end=782     	The Punk And The Godfather
2	3	gDbAtWpoA6k	56.5	12.5	https://www.youtube.com/watch?v=gDbAtWpoA6k&start=56&end=69       	Love reign over me
2	4	8yuOw5k5_OM	8	10	https://www.youtube.com/watch?v=8yuOw5k5_OM&start=8&end=18        	Eminence Front
2	5	UFrDpx7zLtA	16	8.1	https://www.youtube.com/watch?v=UFrDpx7zLtA&start=16&end=24       	Pinball Wizard
2	6	jr92gsj31nM	41	8.9	https://www.youtube.com/watch?v=jr92gsj31nM&start=41&end=49       	Baba O'Riley
						
3	1	2Kp38BUjPNI	872.8	14.1	https://www.youtube.com/watch?v=2Kp38BUjPNI&start=872&end=886     	Clarinet Sonata in F minor Op. 120 No. 1: III.
3	2	aJTxsbGWYik	270	11.8	https://www.youtube.com/watch?v=aJTxsbGWYik&start=270&end=281     	String Quartet Op. 51 No. 2 in A minor: IV.
3	3	tWoFaPwbzqE	114	8.2	https://www.youtube.com/watch?v=tWoFaPwbzqE&start=114&end=122     	Piano Concerto No. 2 in B-flat major, Op. 83: I.
3	4	qI1vYHT43a4	1950.2	15.2	https://www.youtube.com/watch?v=qI1vYHT43a4&start=1950&end=1965   	Symphony No. 2 in D major, Op. 73: III.
3	5	Hg9iXypvP_k	6.6	10.2	https://www.youtube.com/watch?v=Hg9iXypvP_k&start=6&end=16        	Symphony No. 4 in E minor: IV.
3	6	2tB2SLLnPZg	27	10.5	https://www.youtube.com/watch?v=2tB2SLLnPZg&start=27&end=37       	Symphony No. 3 in F minor: III.
						
4	1	xr0Tfng9SP0	994	11	https://www.youtube.com/watch?v=xr0Tfng9SP0&start=994&end=1005    	Spiral
4	2	xr0Tfng9SP0	1156	10	https://www.youtube.com/watch?v=xr0Tfng9SP0&start=1156&end=1166   	Syeeda's Song Flute
4	3	xr0Tfng9SP0	287.6	10	https://www.youtube.com/watch?v=xr0Tfng9SP0&start=287&end=297     	Cousin Mary
4	4	xr0Tfng9SP0	176	10	https://www.youtube.com/watch?v=xr0Tfng9SP0&start=176&end=186     	Giant Steps
4	5	xr0Tfng9SP0	1271	13	https://www.youtube.com/watch?v=xr0Tfng9SP0&start=1271&end=1284   	Syeeda's Song Flute
4	6	xr0Tfng9SP0	26.4	10.8	https://www.youtube.com/watch?v=xr0Tfng9SP0&start=26&end=37       	Giant Steps
						
5	1	4QrGJoWy6sc	0	8	https://www.youtube.com/watch?v=4QrGJoWy6sc&start=0&end=8         	Clap Your Hands
5	2	WILyWmT2A-Q	10	9.8	https://www.youtube.com/watch?v=WILyWmT2A-Q&start=10&end=19       	I Left My Wallet In El Segundo
5	3	kQaSDJYwdh4	0	9	https://www.youtube.com/watch?v=kQaSDJYwdh4&start=0&end=9         	Dis Generation
5	4	d4TKddYmeeM	0	13	https://www.youtube.com/watch?v=d4TKddYmeeM&start=0&end=13        	The Donald
5	5	DvzOfm0ZhS8	100.1	10.1	https://www.youtube.com/watch?v=DvzOfm0ZhS8&start=100&end=110     	Jazz (We've Got)
5	6	vO2Su3erRIA	15.7	8.4	https://www.youtube.com/watch?v=vO2Su3erRIA&start=15&end=24       	We The People
5	7	O3pyCGnZzYA	10	7.8	https://www.youtube.com/watch?v=O3pyCGnZzYA&start=10&end=17       	Can I Kick It?
						
6	1	H0HsOKN3ly4	10	12.3	https://www.youtube.com/watch?v=H0HsOKN3ly4&start=10&end=22       	NEU! - Hero
6	2	KwVfXkchDKo	121	7.3	https://www.youtube.com/watch?v=KwVfXkchDKo&start=121&end=128     	Faust - Why Don't You Eat Carrots
6	3	YmN9oHa3ZIQ	26	11	https://www.youtube.com/watch?v=YmN9oHa3ZIQ&start=26&end=37       	CAN - Vitamin C
