Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	JJuTRlG_I1o	177.25	9.2	https://www.youtube.com/watch?v=JJuTRlG_I1o&start=177&end=186     	3rd mvt (Allegro)
1	2	3v0B1HFa4mI	97	9	https://www.youtube.com/watch?v=3v0B1HFa4mI&start=97&end=106      	2nd mvt (Largo ma non tanto)
1	3	JJuTRlG_I1o	73.4	9.6	https://www.youtube.com/watch?v=JJuTRlG_I1o&start=73&end=83       	3rd mvt (Allegro)
1	4	4Z4yn6-dY_8	180	9	https://www.youtube.com/watch?v=4Z4yn6-dY_8&start=180&end=189     	1st mvt (Vivace)
1	5	3v0B1HFa4mI	3	9	https://www.youtube.com/watch?v=3v0B1HFa4mI&start=3&end=12        	2nd mvt (Largo ma non tanto)
1	6	4Z4yn6-dY_8	93.15	9	https://www.youtube.com/watch?v=4Z4yn6-dY_8&start=93&end=102      	1st mvt (Vivace)
1	7	4Z4yn6-dY_8	0.9	10.2	https://www.youtube.com/watch?v=4Z4yn6-dY_8&start=0&end=11        	1st mvt (Vivace)
						
2	1	sQyxkHdO4PQ	62	7	https://www.youtube.com/watch?v=sQyxkHdO4PQ&start=62&end=69       	Nick Cave and the Bad Seeds, "Plain Gold Ring"
2	2	6i1mr9amqeg	107	7	https://www.youtube.com/watch?v=6i1mr9amqeg&start=107&end=114     	Kimbra, "Plain Gold Ring"
2	3	2xQYFaIrqqA	66	7	https://www.youtube.com/watch?v=2xQYFaIrqqA&start=66&end=73       	Xiu Xiu, "Don't Smoke in Bed"
2	4	MVkqlngs3zw	203	8	https://www.youtube.com/watch?v=MVkqlngs3zw&start=203&end=211     	Ms. Lauryn Hill, "Black Is the Color of My True Love's Hair"
2	5	utEu0wylJBo	144	7	https://www.youtube.com/watch?v=utEu0wylJBo&start=144&end=151     	16 Horsepower, "Sinnerman"
2	6	Tbm-XMSTK2A	143	8	https://www.youtube.com/watch?v=Tbm-XMSTK2A&start=143&end=151     	Muse, "Feeling Good"
2	7	Tbm-XMSTK2A	101	10	https://www.youtube.com/watch?v=Tbm-XMSTK2A&start=101&end=111     	Muse, "Feeling Good"
2	8	Edwsf-8F3sI	175	8	https://www.youtube.com/watch?v=Edwsf-8F3sI&start=175&end=183     	Michael Bublé, "Feeling Good"
						
3	1	m6357vL9TPg	705.1	8	https://www.youtube.com/watch?v=m6357vL9TPg&start=705&end=713     	Eight Songs for a Mad King, pt 3 "The Lady-In-Waiting"
3	2	m6357vL9TPg	1057	8	https://www.youtube.com/watch?v=m6357vL9TPg&start=1057&end=1065   	Eight Songs for a Mad King, pt 5 "The Phantom Queen" 
3	3	-aJF5uoU7fI	265	8	https://www.youtube.com/watch?v=-aJF5uoU7fI&start=265&end=273     	Partita for 8 voices, mvt 2 "Sarabande" 
3	4	xxTF2umRtqY	403	8	https://www.youtube.com/watch?v=xxTF2umRtqY&start=403&end=411     	Partita for 8 voices, mvt 3 "Courante" 
3	5	m6357vL9TPg	193	8	https://www.youtube.com/watch?v=m6357vL9TPg&start=193&end=201     	Eight Songs for a Mad King, pt 1 "The Sentry" (opening)
3	6	1LlE41gvNcw	273	8	https://www.youtube.com/watch?v=1LlE41gvNcw&start=273&end=281     	Partita for 8 voices, mvt 4 "Passacaglia"
3	7	m6357vL9TPg	1328	8	https://www.youtube.com/watch?v=m6357vL9TPg&start=1328&end=1336   	Eight Songs for a Mad King, pt 7 "Country Dance" (where the violin is smashed)
3	8	2mukrVsKqTs	111	8	https://www.youtube.com/watch?v=2mukrVsKqTs&start=111&end=119     	Partita for 8 voices, mvt 1 "Allemande" (opening)
						
4	1	mVhtWfC7RF4	60	8	https://www.youtube.com/watch?v=mVhtWfC7RF4&start=60&end=68       	Zdob Si Zdub, "Boonika Bate Toba" (Eurovision 2005)
4	2	l2JHQdGm7VI	27	8	https://www.youtube.com/watch?v=l2JHQdGm7VI&start=27&end=35       	Natalia Barbu, "Suflet Gol"
