Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	DdTh4plaV9E	360.4	13.8	https://www.youtube.com/watch?v=DdTh4plaV9E&start=360&end=374     	No. 1 Courante on clarinet
1	2	wrOMrTFY5Sk	0.15	12	https://www.youtube.com/watch?v=wrOMrTFY5Sk&start=0&end=12        	No. 2 Prelude on flute
1	3	l6g6nJFIah4	741.1	7.1	https://www.youtube.com/watch?v=l6g6nJFIah4&start=741&end=748     	No. 3 Bourrée on guitar
1	4	ZZ8H1_oMX-w	3	14.1	https://www.youtube.com/watch?v=ZZ8H1_oMX-w&start=3&end=17        	No. 3 Prelude on bassoon
1	5	lyJNccEoq2c	486.7	6.9	https://www.youtube.com/watch?v=lyJNccEoq2c&start=486&end=493     	No. 1 mvt. 6 on saxophone
1	6	mhfxM5FOzjQ	4.4	8	https://www.youtube.com/watch?v=mhfxM5FOzjQ&start=4&end=12        	No. 1 Prelude on piano
						
2	1	pb37dJFPoFg	434	10.2	https://www.youtube.com/watch?v=pb37dJFPoFg&start=434&end=444     	mvt. 1 drop the needle
2	2	pb37dJFPoFg	1357	15	https://www.youtube.com/watch?v=pb37dJFPoFg&start=1357&end=1372   	mvt. 3 best piccolo solo
2	3	pb37dJFPoFg	769.6	6.3	https://www.youtube.com/watch?v=pb37dJFPoFg&start=769&end=775     	mvt. 2 brass
2	4	pb37dJFPoFg	1703.5	7	https://www.youtube.com/watch?v=pb37dJFPoFg&start=1703&end=1710   	mvt. 5 opening
2	5	pb37dJFPoFg	615.7	11.2	https://www.youtube.com/watch?v=pb37dJFPoFg&start=615&end=626     	mvt. 2 opening bassoons
2	6	pb37dJFPoFg	589	10.3	https://www.youtube.com/watch?v=pb37dJFPoFg&start=589&end=599     	mvt. 1 end
						
3	1	p-dUa_OOH3U	11	10	https://www.youtube.com/watch?v=p-dUa_OOH3U&start=11&end=21       	Rautavaara: "Tulen"
3	2	d5uMzy3C3Mw	36.5	12	https://www.youtube.com/watch?v=d5uMzy3C3Mw&start=36&end=48       	En saa rakastaa (Hercules "I Can't Say I'm In Love")
3	3	BsT1Tm4IK2E	146	14	https://www.youtube.com/watch?v=BsT1Tm4IK2E&start=146&end=160     	Eppu Normaali: Murheellisten laulujen maa
3	4	8_cwVUor0ac	19	17	https://www.youtube.com/watch?v=8_cwVUor0ac&start=19&end=36       	Kardemimmit: Tuonen tyttö
