Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	Dd7iXOEljAo	3606.25	10.05	https://www.youtube.com/watch?v=Dd7iXOEljAo&start=3606&end=3616   	arr. Casella: Mahler Symphony No. 7
1	2	JeRdJDwohxc	311.65	10.55	https://www.youtube.com/watch?v=JeRdJDwohxc&start=311&end=322     	arr. Casella: Balakirev Islamey
1	3	EHfAkmLMnOw	838.6	12.25	https://www.youtube.com/watch?v=EHfAkmLMnOw&start=838&end=850     	arr. Respighi: Bach Passacaglia and Fugue in C minor, BWV 582
1	4	UqWP7lxJ6Gk	685.5	9.8	https://www.youtube.com/watch?v=UqWP7lxJ6Gk&start=685&end=695     	arr. Respighi: Bach Tre Corali: III. "Wachet auf"
1	5	jf7xarpGMIo	84.8	8	https://www.youtube.com/watch?v=jf7xarpGMIo&start=84&end=92       	arr. Respighi: Overture, La boutique fantasque
1	6	Fu-9frVpssg	619.4	8.9	https://www.youtube.com/watch?v=Fu-9frVpssg&start=619&end=628     	arr. Busoni: Bach Chaconne in D minor
1	7	ZdWoExjLyro	440.9	5.2	https://www.youtube.com/watch?v=ZdWoExjLyro&start=440&end=446     	arr. Respighi: Rossini Tarantella, La boutique fantasque
1	8	YNq23SLzEKg	557.2	11.4	https://www.youtube.com/watch?v=YNq23SLzEKg&start=557&end=568     	arr. Respighi: Rachmaninoff Étude-Tableaux Op. 33 No. 4
1	9	208g0WW_8zA	94.9	9.9	https://www.youtube.com/watch?v=208g0WW_8zA&start=94&end=104      	arr. Respighi: Ancient Airs and Dances Suite No. 3: III. Siciliana
						
2	1	Ny8jnk674Ps	0.2	6.6	https://www.youtube.com/watch?v=Ny8jnk674Ps&start=0&end=6         	String Quartet No. 14 in G major, K. 387 "Spring": II. Minuet
2	2	vIhp5rgUzqQ	1.1	8.1	https://www.youtube.com/watch?v=vIhp5rgUzqQ&start=1&end=9         	String Quintet No. 4 in G minor, K. 516: I.
2	3	-JScFkE-Arw	1.1	9	https://www.youtube.com/watch?v=-JScFkE-Arw&start=1&end=10        	String Quintet No. 2 in C minor, K. 406: I.
2	4	D4jdFz2AK6I	1.4	15.6	https://www.youtube.com/watch?v=D4jdFz2AK6I&start=1&end=17        	Clarinet Quintet in A major K. 581 – opening
2	5	lHAa3vUmqIc	0.9	9.7	https://www.youtube.com/watch?v=lHAa3vUmqIc&start=0&end=10        	String Quartet No. 23 in F major, K. 590 "Prussian 3": III. Minuet
2	6	o5Ie4AkwBSk	1.6	8.2	https://www.youtube.com/watch?v=o5Ie4AkwBSk&start=1&end=9         	String Quintet No. 3 in C major, K. 515: I. – 5-bar phrases, Mannheim rocket
2	7	D7YhMtQf3sI	1.5	9.6	https://www.youtube.com/watch?v=D7YhMtQf3sI&start=1&end=11        	String Quartet No. 17 in B-flat major, K. 458 "Hunt": I.
2	8	afvtnZodkfc	8	13	https://www.youtube.com/watch?v=afvtnZodkfc&start=8&end=21        	String Quartet No. 19 in C major, K. 465 "Dissonance": I.
2	9	eA8vQBReELM	1.3	5.2	https://www.youtube.com/watch?v=eA8vQBReELM&start=1&end=6         	Divertimento in D major, K. 136 "Salzburg Symphony No. 1": I.
						
3	1	QrvvkW2blw0	75	7	https://www.youtube.com/watch?v=QrvvkW2blw0&start=75&end=82       	Buoy Base Galaxy
3	2	GurdjJOhsQs	69	12.3	https://www.youtube.com/watch?v=GurdjJOhsQs&start=69&end=81       	Good Egg Galaxy
3	3	yu4TmMOArWA	77.8	11.1	https://www.youtube.com/watch?v=yu4TmMOArWA&start=77&end=88       	Space Junk Galaxy
3	4	DbyqMdRS09w	5.5	11.7	https://www.youtube.com/watch?v=DbyqMdRS09w&start=5&end=17        	Rosalina's Comet Observatory
3	5	bcZhJDUFb58	98.8	16.2	https://www.youtube.com/watch?v=bcZhJDUFb58&start=98&end=115      	Gusty Garden Galaxy – climax and recapitulation
3	6	cU7IZRGnJeQ	1.3	11.1	https://www.youtube.com/watch?v=cU7IZRGnJeQ&start=1&end=12        	Main Theme
