Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	W8hQSMxa7gk	1625	12	https://www.youtube.com/watch?v=W8hQSMxa7gk&start=1625&end=1637   	Movement 2
1	2	W8hQSMxa7gk	2430	10	https://www.youtube.com/watch?v=W8hQSMxa7gk&start=2430&end=2440   	Movement 3
1	3	W8hQSMxa7gk	172	9	https://www.youtube.com/watch?v=W8hQSMxa7gk&start=172&end=181     	Movement 1
1	4	W8hQSMxa7gk	905	10	https://www.youtube.com/watch?v=W8hQSMxa7gk&start=905&end=915     	Movement 1
1	5	W8hQSMxa7gk	2100	13.5	https://www.youtube.com/watch?v=W8hQSMxa7gk&start=2100&end=2113   	Movement 3, opening
1	6	W8hQSMxa7gk	1.4	12	https://www.youtube.com/watch?v=W8hQSMxa7gk&start=1&end=13        	Movement 1, opening
						
2	1	lkwluLsP364	1.6	12.7	https://www.youtube.com/watch?v=lkwluLsP364&start=1&end=14        	Mwandishi
2	2	TikRSpQDr6I	1341	10	https://www.youtube.com/watch?v=TikRSpQDr6I&start=1341&end=1351   	Bubbles
2	3	TikRSpQDr6I	1.1	9.5	https://www.youtube.com/watch?v=TikRSpQDr6I&start=1&end=10        	Hang Up Your Hang Ups
2	4	iB2Z2DY17yQ	0.3	8	https://www.youtube.com/watch?v=iB2Z2DY17yQ&start=0&end=8         	Dolphin Dance
2	5	8B1oIXGX0Io	0.5	10	https://www.youtube.com/watch?v=8B1oIXGX0Io&start=0&end=10        	Cantaloupe Island
2	6	UbkqE4fpvdI	85	9.8	https://www.youtube.com/watch?v=UbkqE4fpvdI&start=85&end=94       	Chameleon
						
3	1	P4PI8ni5b3Q	5	15	https://www.youtube.com/watch?v=P4PI8ni5b3Q&start=5&end=20        	Gheychak (traditional instrument)
3	2	WCpiD15zaYo	6.5	11.5	https://www.youtube.com/watch?v=WCpiD15zaYo&start=6&end=18        	Mohammad-Reza Lotfi plays kamancheh
3	3	0OoZyzym3ps	9	12	https://www.youtube.com/watch?v=0OoZyzym3ps&start=9&end=21        	Current Iranian national anthem
3	4	8p7KccSKDfY	832.6	12.2	https://www.youtube.com/watch?v=8p7KccSKDfY&start=832&end=844     	Shahram Nazeri (meant to put Farsi dialogue in)
3	5	V_FQqHzcCak	55	15	https://www.youtube.com/watch?v=V_FQqHzcCak&start=55&end=70       	Hayedeh - Shabe Eshgh (w/ Farsi)
3	6	tsBKYMSr3YI	98	10	https://www.youtube.com/watch?v=tsBKYMSr3YI&start=98&end=108      	Old Iranian national anthem (w/ Farsi)
						
4	1	TwfxWxz-frA	25	5	https://www.youtube.com/watch?v=TwfxWxz-frA&start=25&end=30       	Frank's Track
4	2	GhHxrsPHHEY	148	10	https://www.youtube.com/watch?v=GhHxrsPHHEY&start=148&end=158     	Fade
4	3	dlc_bQXbzR0	0	5	https://www.youtube.com/watch?v=dlc_bQXbzR0&start=0&end=5         	Feedback
4	4	hrMBfNVf2-g	75	10.3	https://www.youtube.com/watch?v=hrMBfNVf2-g&start=75&end=85       	Highlight
