Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	zpUV1Mo7llo	17	7	https://www.youtube.com/watch?v=zpUV1Mo7llo&start=17&end=24       	Pat Metheny's solo on "Video Games" from Song X
1	2	LHv0VWPAIjU	14	11	https://www.youtube.com/watch?v=LHv0VWPAIjU&start=14&end=25       	"What Reason Could I Give" from Science Fiction
1	3	7dA5qoTOa3Q	53	7.2	https://www.youtube.com/watch?v=7dA5qoTOa3Q&start=53&end=60       	"Times Square" from Of Human Feelings
1	4	9nGDRpdgAGs	0.3	11.7	https://www.youtube.com/watch?v=9nGDRpdgAGs&start=0&end=12        	"The Blessing" from Something Else!!!
1	5	23QVY94tAj0	15	8.5	https://www.youtube.com/watch?v=23QVY94tAj0&start=15&end=23       	Dancing in your Head
1	6	DNbD1JIH344	19	12	https://www.youtube.com/watch?v=DNbD1JIH344&start=19&end=31       	"Lonely Woman" from The Shape of Jazz to Come
						
2	1	t2Hy0lK9lqE	95	12	https://www.youtube.com/watch?v=t2Hy0lK9lqE&start=95&end=107      	Cantata Para America Magica Op. 27
2	2	VLVgwW1NUt8	519.8	8.4	https://www.youtube.com/watch?v=VLVgwW1NUt8&start=519&end=528     	Guitar Sonata Op. 47, mvt. 3
2	3	vETsXy7Og7Q	30	11	https://www.youtube.com/watch?v=vETsXy7Og7Q&start=30&end=41       	Guitar Sonata Op. 47, mvt. 2
2	4	hT3XiVsH64g	27.6	8.8	https://www.youtube.com/watch?v=hT3XiVsH64g&start=27&end=36       	Piano Sonata No. 1, Op. 22, mvt. 1
2	5	UaM3p-_PYFE	1069.2	13.6	https://www.youtube.com/watch?v=UaM3p-_PYFE&start=1069&end=1082   	Harp Concerto Op. 25, mvt. 3
2	6	LunXZJtfgJQ	120.3	12.1	https://www.youtube.com/watch?v=LunXZJtfgJQ&start=120&end=132     	Danzas argentinas, Op. 2: III. Danza del gaucho matrero
2	7	uhFpd0fDmZ4	101	7.6	https://www.youtube.com/watch?v=uhFpd0fDmZ4&start=101&end=108     	Estancia Op. 8, mvt. 3
						
3	1	MuGThtyz9pI	3.2	8.8	https://www.youtube.com/watch?v=MuGThtyz9pI&start=3&end=12        	The hornpipe
3	2	PJt9w13Jor0	20.5	14.5	https://www.youtube.com/watch?v=PJt9w13Jor0&start=20&end=35       	Bridesmaids chorus
3	3	cEil_UcVbU8	37.7	8.2	https://www.youtube.com/watch?v=cEil_UcVbU8&start=37&end=45       	There Grew a Flower
3	4	1e0OtWYNfXo	31.4	11.6	https://www.youtube.com/watch?v=1e0OtWYNfXo&start=31&end=43       	When the night wind howls
3	5	FOPLVTawCdY	6	8	https://www.youtube.com/watch?v=FOPLVTawCdY&start=6&end=14        	My eyes are fully open
3	6	M7jU_J9fqfU	95.3	10.9	https://www.youtube.com/watch?v=M7jU_J9fqfU&start=95&end=106      	I once was as meek
						
4	1	4u14_yotoaY	5.2	9.6	https://www.youtube.com/watch?v=4u14_yotoaY&start=5&end=14        	Buxtehude: BuxWV 157, Toccata in F Major
4	2	PV4VRPIwbYw	26.7	11.3	https://www.youtube.com/watch?v=PV4VRPIwbYw&start=26&end=38       	Frescobaldi: Toccata Terza F 2.03
4	3	UORxpTn-pOE	47	9	https://www.youtube.com/watch?v=UORxpTn-pOE&start=47&end=56       	Ravel: Le Tombeau de Couperin, mvt. 6
4	4	mjpFi9bn1do	2.5	9	https://www.youtube.com/watch?v=mjpFi9bn1do&start=2&end=11        	Monteverdi: Toccata from L'Orfeo
4	5	EUHobIa3TL0	24.5	9	https://www.youtube.com/watch?v=EUHobIa3TL0&start=24&end=33       	Schumann Op. 7
4	6	SGKfqSJbeAg	21.1	10.9	https://www.youtube.com/watch?v=SGKfqSJbeAg&start=21&end=32       	Bach: Toccata and Fugue in D minor, BWV 565
						
5	1	dvB6MDTdhFU	22	10	https://www.youtube.com/watch?v=dvB6MDTdhFU&start=22&end=32       	Gubaidulina: Trio For Three Trumpets
5	2	h4rKh2JvC-I	0.2	11.8	https://www.youtube.com/watch?v=h4rKh2JvC-I&start=0&end=12        	Schnittke: Sketches
5	3	yaaRk0c-780	7	10	https://www.youtube.com/watch?v=yaaRk0c-780&start=7&end=17        	Schnittke: Concerto Grosso No. 1: I. Preludio
5	4	jkWA_Bom79A	4	6.7	https://www.youtube.com/watch?v=jkWA_Bom79A&start=4&end=10        	Kapustin: 8 Concert Etudes, Op. 40 No. 3: Toccatina
5	5	o8TCEJy6P0g	2.4	6	https://www.youtube.com/watch?v=o8TCEJy6P0g&start=2&end=8         	Prokofiev: The Love for Three Oranges: I. The Clowns
