Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	JGOTMWTnJqg	1096.8	9.7	https://www.youtube.com/watch?v=JGOTMWTnJqg&start=1096&end=1106   	Symphony No. 1
1	2	zjSacMy6yBo	765.9	8.1	https://www.youtube.com/watch?v=zjSacMy6yBo&start=765&end=774     	Symphony No. 2
1	3	EPtdEaS3kP4	1513.9	12.8	https://www.youtube.com/watch?v=EPtdEaS3kP4&start=1513&end=1526   	Symphony No. 4
1	4	vl6_aJU0S4M	1128.6	9	https://www.youtube.com/watch?v=vl6_aJU0S4M&start=1128&end=1137   	Symphony No. 7
1	5	Ja7ZkvP8Nrk	326	9	https://www.youtube.com/watch?v=Ja7ZkvP8Nrk&start=326&end=335     	Symphony No. 9
1	6	UgdSR0N08fM	1	9	https://www.youtube.com/watch?v=UgdSR0N08fM&start=1&end=10        	Symphony No. 3
						
2	1	Abby2S5OSXM	599.4	12	https://www.youtube.com/watch?v=Abby2S5OSXM&start=599&end=611     	Piano Sonata No. 3
2	2	wfF2tznp0xs	949	9	https://www.youtube.com/watch?v=wfF2tznp0xs&start=949&end=958     	Violin Sonata No. 3
2	3	NijYtozUHaw	30.75	10.4	https://www.youtube.com/watch?v=NijYtozUHaw&start=30&end=41       	Clarinet Quintet
2	4	GMurNzAAcLA	1483	8	https://www.youtube.com/watch?v=GMurNzAAcLA&start=1483&end=1491   	Double Concerto
2	5	tWoFaPwbzqE	1.6	10	https://www.youtube.com/watch?v=tWoFaPwbzqE&start=1&end=11        	Piano Concerto No. 2
2	6	QaItCES17AY	0.6	10	https://www.youtube.com/watch?v=QaItCES17AY&start=0&end=10        	Symphony No. 3
						
3	1	A3NT6na2VOQ	1628	12.4	https://www.youtube.com/watch?v=A3NT6na2VOQ&start=1628&end=1640   	Shostakovich: Symphony No. 12 The Year 1917
3	2	A3NT6na2VOQ	1	9.5	https://www.youtube.com/watch?v=A3NT6na2VOQ&start=1&end=10        	Shostakovich: Symphony No. 12 The Year 1917
3	3	IPpzWjnrAVE	1863.5	9.5	https://www.youtube.com/watch?v=IPpzWjnrAVE&start=1863&end=1873   	Shostakovich: Symphony No. 11 The Year 1905
3	4	IPpzWjnrAVE	2446	10	https://www.youtube.com/watch?v=IPpzWjnrAVE&start=2446&end=2456   	Shostakovich: Symphony No. 11 The Year 1905
3	5	VbxgYlcNxE8	663	11	https://www.youtube.com/watch?v=VbxgYlcNxE8&start=663&end=674     	Tchaikovsky: 1812 Overture
3	6	VbxgYlcNxE8	839	11	https://www.youtube.com/watch?v=VbxgYlcNxE8&start=839&end=850     	Tchaikovsky: 1812 Overture
						
4	1	0VFkomrTF78	26	12.3	https://www.youtube.com/watch?v=0VFkomrTF78&start=26&end=38       	Holst: Nunc Dimittis
4	2	hwpIyh2dJp4	82	11.3	https://www.youtube.com/watch?v=hwpIyh2dJp4&start=82&end=93       	Gardiner: Evening Hymn
4	3	N2FBBb14em8	232.8	9.8	https://www.youtube.com/watch?v=N2FBBb14em8&start=232&end=242     	Parry: I Was Glad
4	4	iT-ZAAi4UQQ	60	10	https://www.youtube.com/watch?v=iT-ZAAi4UQQ&start=60&end=70       	Tallis: Spem in Alium
4	5	MiXgOQ9_-RI	82	9.4	https://www.youtube.com/watch?v=MiXgOQ9_-RI&start=82&end=91       	Handel: Zadok the Priest
4	6	uGQq3HcOB0Y	113	9.3	https://www.youtube.com/watch?v=uGQq3HcOB0Y&start=113&end=122     	Purcell: Dido's Lament
						
5	1	e92zMFbDSQ4	1098	11.4	https://www.youtube.com/watch?v=e92zMFbDSQ4&start=1098&end=1109   	Shostakovich: Cello Concerto No. 2
5	2	mooB5Q-0FIE	1022	8	https://www.youtube.com/watch?v=mooB5Q-0FIE&start=1022&end=1030   	Haydn
5	3	llB7NaWLUc4	1114	12	https://www.youtube.com/watch?v=llB7NaWLUc4&start=1114&end=1126   	Dvořák
5	4	f_Xg7JZcyIk	77.8	9.2	https://www.youtube.com/watch?v=f_Xg7JZcyIk&start=77&end=87       	Elgar
5	5	llB7NaWLUc4	1730.8	11	https://www.youtube.com/watch?v=llB7NaWLUc4&start=1730&end=1741   	Dvořák
5	6	f_Xg7JZcyIk	8	10.4	https://www.youtube.com/watch?v=f_Xg7JZcyIk&start=8&end=18        	Elgar
						
6	1	Qx55EmiFadg	4873	9	https://www.youtube.com/watch?v=Qx55EmiFadg&start=4873&end=4882   	Fricka
6	2	Qx55EmiFadg	2435	9	https://www.youtube.com/watch?v=Qx55EmiFadg&start=2435&end=2444   	Wälse
6	3	Qx55EmiFadg	12578	10	https://www.youtube.com/watch?v=Qx55EmiFadg&start=12578&end=12588 	Brunhilde
6	4	Qx55EmiFadg	12724	10	https://www.youtube.com/watch?v=Qx55EmiFadg&start=12724&end=12734 	Leb wohl
6	5	Qx55EmiFadg	1.2	11	https://www.youtube.com/watch?v=Qx55EmiFadg&start=1&end=12        	Vorspiel
6	6	Qx55EmiFadg	9537	10	https://www.youtube.com/watch?v=Qx55EmiFadg&start=9537&end=9547   	Ride of the Valkyries
						
7	1	FcnYbpJhpN4	1312.35	11	https://www.youtube.com/watch?v=FcnYbpJhpN4&start=1312&end=1323   	Préludes, Livre 1, No. 7: Ce qu'a vu le vent d'ouest ("What the west wind saw")
7	2	FcnYbpJhpN4	2469	10	https://www.youtube.com/watch?v=FcnYbpJhpN4&start=2469&end=2479   	Préludes, Livre 1, No. 12: Minstrels
7	3	_hifk5F5uJM	3	10	https://www.youtube.com/watch?v=_hifk5F5uJM&start=3&end=13        	Suite bergamasque: IV. Passepied
7	4	wZIGLHae_P8	44	11	https://www.youtube.com/watch?v=wZIGLHae_P8&start=44&end=55       	Children's Corner: Doctor Gradus ad Parnassum
7	5	tnkBhv5WsRw	5.8	10	https://www.youtube.com/watch?v=tnkBhv5WsRw&start=5&end=15        	Children's Corner: Golliwog's Cakewalk
7	6	CvFH_6DNRCY	8	10	https://www.youtube.com/watch?v=CvFH_6DNRCY&start=8&end=18        	Suite bergamasque: III. Clair de lune
						
8	1	rKK-qnZ1HIA	45	10	https://www.youtube.com/watch?v=rKK-qnZ1HIA&start=45&end=55       	Johann Strauss: Tausend und Eine Nacht waltz
8	2	_o3Iuua0yvQ	614	12.5	https://www.youtube.com/watch?v=_o3Iuua0yvQ&start=614&end=626     	Ravel: Shéhérazade
8	3	-PyQIuP0u4g	813	11	https://www.youtube.com/watch?v=-PyQIuP0u4g&start=813&end=824     	Nielsen: Aladdin Suite
8	4	-PyQIuP0u4g	2	10	https://www.youtube.com/watch?v=-PyQIuP0u4g&start=2&end=12        	Nielsen: Aladdin Suite
8	5	SQNymNaTr-Y	788	11	https://www.youtube.com/watch?v=SQNymNaTr-Y&start=788&end=799     	Rimsky-Korsakov: Scheherazade
8	6	SQNymNaTr-Y	60	10	https://www.youtube.com/watch?v=SQNymNaTr-Y&start=60&end=70       	Rimsky-Korsakov: Scheherazade
						
9	1	fb33oQrQoAg	338.2	11	https://www.youtube.com/watch?v=fb33oQrQoAg&start=338&end=349     	C. P. E. Bach: Prussian Sonata in B-flat Major, Wq. 48 No. 2
9	2	y0VLw6JCSVs	1.8	10	https://www.youtube.com/watch?v=y0VLw6JCSVs&start=1&end=11        	Mozart: String Quartet No. 21 in D major, K. 575
9	3	7bHXUkOZTjg	1.8	11	https://www.youtube.com/watch?v=7bHXUkOZTjg&start=1&end=12        	C. P. E. Bach: La Caroline
9	4	PcTVkOzrzQs	592.8	10.4	https://www.youtube.com/watch?v=PcTVkOzrzQs&start=592&end=603     	J. S. Bach: Musical Offering
9	5	MlKelsO0G80	53	10	https://www.youtube.com/watch?v=MlKelsO0G80&start=53&end=63       	J. S. Bach: Magnificat
9	6	PcTVkOzrzQs	12	10	https://www.youtube.com/watch?v=PcTVkOzrzQs&start=12&end=22       	J. S. Bach: Musical Offering
						
10	1	XyHgdN21Pzw	850	11	https://www.youtube.com/watch?v=XyHgdN21Pzw&start=850&end=861     	Das Klagende Lied
10	2	XyHgdN21Pzw	356.5	10	https://www.youtube.com/watch?v=XyHgdN21Pzw&start=356&end=366     	Das Klagende Lied
10	3	dvZSzQ89M5k	31	13	https://www.youtube.com/watch?v=dvZSzQ89M5k&start=31&end=44       	Songs of a Wayfarer
10	4	Sx1fv5q7Wiw	1051	9	https://www.youtube.com/watch?v=Sx1fv5q7Wiw&start=1051&end=1060   	Kindertotenlieder
10	5	dvZSzQ89M5k	290	10	https://www.youtube.com/watch?v=dvZSzQ89M5k&start=290&end=300     	Songs of a Wayfarer
10	6	tsm6lDuM3JA	71.3	10	https://www.youtube.com/watch?v=tsm6lDuM3JA&start=71&end=81       	Symphony No. 2: IV. Urlicht
