Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	MFSm5_4afro	11.3	11.7	https://www.youtube.com/watch?v=MFSm5_4afro&start=11&end=23       	Fazıl Say: Black Earth
1	2	qj1luIOQHLw	13.8	13.2	https://www.youtube.com/watch?v=qj1luIOQHLw&start=13&end=27       	Scriabin: Piano Sonata No. 9 "Black Mass"
1	3	clDtiewclmg	1.7	13.3	https://www.youtube.com/watch?v=clDtiewclmg&start=1&end=15        	Bach: "Black Pearl" from the Goldberg Variations
1	4	2gg-IqHtnak	2.4	9	https://www.youtube.com/watch?v=2gg-IqHtnak&start=2&end=11        	Handel: "Harmonious Blacksmith" which is technically not cheating given the prompt
1	5	BLRyj1Tx4rY	0.4	6	https://www.youtube.com/watch?v=BLRyj1Tx4rY&start=0&end=6         	Crumb: Black Angels
1	6	ve5tfzJINaY	49	12.8	https://www.youtube.com/watch?v=ve5tfzJINaY&start=49&end=61       	Chopin: "Black Key" Etude
						
2	1	jTCol3eIF24	497	10	https://www.youtube.com/watch?v=jTCol3eIF24&start=497&end=507     	Piano Concerto No. 2, I.
2	2	jTCol3eIF24	1682.3	9.7	https://www.youtube.com/watch?v=jTCol3eIF24&start=1682&end=1692   	Piano Concerto No. 2, III. some secondary theme
2	3	MkrwU5Pd93c	2116.8	10.2	https://www.youtube.com/watch?v=MkrwU5Pd93c&start=2116&end=2127   	Piano Concerto No. 1, III.
2	4	jTCol3eIF24	176	11	https://www.youtube.com/watch?v=jTCol3eIF24&start=176&end=187     	Piano Concerto No. 2, I. pianist entrance
2	5	MkrwU5Pd93c	1150	11	https://www.youtube.com/watch?v=MkrwU5Pd93c&start=1150&end=1161   	Piano Concerto No. 1, I. coda
2	6	MkrwU5Pd93c	42.7	12.3	https://www.youtube.com/watch?v=MkrwU5Pd93c&start=42&end=55       	Piano Concerto No. 1, I. beginning
						
3	1	fzzCpL_i7K8	263	10	https://www.youtube.com/watch?v=fzzCpL_i7K8&start=263&end=273     	Alkan: "Song of the Mad Woman on the Seashore"
3	2	GauIMo8Manc	35.25	12.75	https://www.youtube.com/watch?v=GauIMo8Manc&start=35&end=48       	Elgar: "Sea Slumber Song" from Sea Pictures
3	3	VTd2aXLTA84	726.1	15	https://www.youtube.com/watch?v=VTd2aXLTA84&start=726&end=741     	Britten: Four Sea Interludes, IV. Storm
3	4	FOCucJw7iT8	489	14	https://www.youtube.com/watch?v=FOCucJw7iT8&start=489&end=503     	Debussy: La Mer, somewhere in the middle
3	5	_WsW5UPNIxM	11.7	14.6	https://www.youtube.com/watch?v=_WsW5UPNIxM&start=11&end=26       	Vaughan Williams A Sea Symphony beginning
						
4	1	X0g9JlHg5Kw	911.5	12	https://www.youtube.com/watch?v=X0g9JlHg5Kw&start=911&end=923     	Piano Quartet No. 3, III.
4	2	w4nnjhHe15U	974	13	https://www.youtube.com/watch?v=w4nnjhHe15U&start=974&end=987     	Op. 117 No. 3 ending
4	3	40NsFKuskH0	1673	14	https://www.youtube.com/watch?v=40NsFKuskH0&start=1673&end=1687   	Piano Concerto No. 2, III. cello solo
4	4	EGRqIGOAPcE	56.8	10	https://www.youtube.com/watch?v=EGRqIGOAPcE&start=56&end=66       	Symphony No. 1 beginning
4	5	t894eGoymio	8	13	https://www.youtube.com/watch?v=t894eGoymio&start=8&end=21        	Lullaby
						
5	1	EuW2WJFFh4c	557.9	6.4	https://www.youtube.com/watch?v=EuW2WJFFh4c&start=557&end=564     	Piano Sonata No. 1, II.
5	2	5BWOHlEyHcs	505	8.6	https://www.youtube.com/watch?v=5BWOHlEyHcs&start=505&end=513     	String Sextet No. 1, I.
5	3	OZ5Z_xU2JVk	1006.3	9.7	https://www.youtube.com/watch?v=OZ5Z_xU2JVk&start=1006&end=1016   	Piano Trio No. 2, II.
5	4	Qrbom9k_gqk	43.5	8.4	https://www.youtube.com/watch?v=Qrbom9k_gqk&start=43&end=51       	String Sextet No. 2, I.
5	5	DLBCGF73cHE	1295	8.9	https://www.youtube.com/watch?v=DLBCGF73cHE&start=1295&end=1303   	Piano Trio No. 1, III.
5	6	DLBCGF73cHE	287.8	6.7	https://www.youtube.com/watch?v=DLBCGF73cHE&start=287&end=294     	Piano Trio No. 1, I.
5	7	DLBCGF73cHE	10.3	11.9	https://www.youtube.com/watch?v=DLBCGF73cHE&start=10&end=22       	Piano Trio No. 1, I.
5	8	47Ed6zsHioU	81.2	5.9	https://www.youtube.com/watch?v=47Ed6zsHioU&start=81&end=87       	Academic Festival Overture
						
6	1	GLtLakFjkhg	167	14	https://www.youtube.com/watch?v=GLtLakFjkhg&start=167&end=181     	Act III: Addio dolce svegliare alla mattina
