Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	5w1Fn9_jQMk	612	11	https://www.youtube.com/watch?v=5w1Fn9_jQMk&start=612&end=623     	Trio on Popular Irish Melodies - Gigue
1	2	5w1Fn9_jQMk	43	11	https://www.youtube.com/watch?v=5w1Fn9_jQMk&start=43&end=54       	Trio on Popular Irish Melodies - Allegro
1	3	RcfyYfWenbs	453.3	12	https://www.youtube.com/watch?v=RcfyYfWenbs&start=453&end=465     	Mvt. 4 from Songs of Ariel
1	4	fTrml2yKd0M	1207	10	https://www.youtube.com/watch?v=fTrml2yKd0M&start=1207&end=1217   	Mass for Double Choir (End of Sanctus)
1	5	fTrml2yKd0M	82	12	https://www.youtube.com/watch?v=fTrml2yKd0M&start=82&end=94       	Mass for Double Choir (Kyrie)
1	6	fTrml2yKd0M	1085	11	https://www.youtube.com/watch?v=fTrml2yKd0M&start=1085&end=1096   	Mass for Double Choir (Sanctus)
						
2	1	lIA8i8kOgDg	552	13	https://www.youtube.com/watch?v=lIA8i8kOgDg&start=552&end=565     	Trifono di Aphrodite
2	2	rW_dhpxIPO0	23.6	17.2	https://www.youtube.com/watch?v=rW_dhpxIPO0&start=23&end=40       	Catulli Carmina ending Exodium
2	3	N4z2Ey4PYT4	2393	10	https://www.youtube.com/watch?v=N4z2Ey4PYT4&start=2393&end=2403   	Carmina Burana (Amore Volat Undique)
2	4	N4z2Ey4PYT4	344	12	https://www.youtube.com/watch?v=N4z2Ey4PYT4&start=344&end=356     	Carmina Burana (Veris Leta Facies)
2	5	N4z2Ey4PYT4	701	7.2	https://www.youtube.com/watch?v=N4z2Ey4PYT4&start=701&end=708     	Carmina Burana (Ecce Gratum)
2	6	N4z2Ey4PYT4	3488	7.4	https://www.youtube.com/watch?v=N4z2Ey4PYT4&start=3488&end=3495   	Carmina Burana (O fortuna)
						
3	1	aBFCXnaoMHs	17	11	https://www.youtube.com/watch?v=aBFCXnaoMHs&start=17&end=28       	Ave Maris Stella
3	2	cyKIaEmIzOU	14	9	https://www.youtube.com/watch?v=cyKIaEmIzOU&start=14&end=23       	Children's song from Album for Men's Voices
3	3	2SBap7zvkME	145	11	https://www.youtube.com/watch?v=2SBap7zvkME&start=145&end=156     	Holberg Suite (Rigaudon B Melody)
3	4	I1Yoyz6_Los	354	10	https://www.youtube.com/watch?v=I1Yoyz6_Los&start=354&end=364     	Piano Concerto Mvt. 1 Cadenza
3	5	YIk5oxSnrIw	3232.2	8.6	https://www.youtube.com/watch?v=YIk5oxSnrIw&start=3232&end=3240   	Death of Åse
3	6	YIk5oxSnrIw	1497	10	https://www.youtube.com/watch?v=YIk5oxSnrIw&start=1497&end=1507   	In the Hall of the Mountain King
						
4	1	VUSfrgPQjRM	394	9	https://www.youtube.com/watch?v=VUSfrgPQjRM&start=394&end=403     	Mvt. 2 Mid-fugue
4	2	VUSfrgPQjRM	1163	9	https://www.youtube.com/watch?v=VUSfrgPQjRM&start=1163&end=1172   	Mvt. 3 Laudate
4	3	VUSfrgPQjRM	535	10	https://www.youtube.com/watch?v=VUSfrgPQjRM&start=535&end=545     	Mvt. 2 ending
4	4	VUSfrgPQjRM	890	12	https://www.youtube.com/watch?v=VUSfrgPQjRM&start=890&end=902     	Mvt. 3 Faster section
4	5	VUSfrgPQjRM	69	11	https://www.youtube.com/watch?v=VUSfrgPQjRM&start=69&end=80       	Mvt. 1
4	6	VUSfrgPQjRM	1.8	9.2	https://www.youtube.com/watch?v=VUSfrgPQjRM&start=1&end=11        	Mvt. 1 Beginning
						
5	1	XLkd1NIw78A	2709	11	https://www.youtube.com/watch?v=XLkd1NIw78A&start=2709&end=2720   	End of Die Liebe Farbe
5	2	XLkd1NIw78A	2587	10.6	https://www.youtube.com/watch?v=XLkd1NIw78A&start=2587&end=2597   	Voice at end of Die Liebe Farbe
5	3	XLkd1NIw78A	1494	10	https://www.youtube.com/watch?v=XLkd1NIw78A&start=1494&end=1504   	Des Müllers Blumen
5	4	XLkd1NIw78A	2384	12	https://www.youtube.com/watch?v=XLkd1NIw78A&start=2384&end=2396   	Der Jäger
5	5	XLkd1NIw78A	1832	13	https://www.youtube.com/watch?v=XLkd1NIw78A&start=1832&end=1845   	Mein
5	6	XLkd1NIw78A	521	10	https://www.youtube.com/watch?v=XLkd1NIw78A&start=521&end=531     	Am Feierabend (Gives answer at end.)
						
6	1	pW9kRl4x_wY	11	10	https://www.youtube.com/watch?v=pW9kRl4x_wY&start=11&end=21       	Amarok
