Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	Aw44PzSQAZg	980.2	11.8	https://www.youtube.com/watch?v=Aw44PzSQAZg&start=980&end=992     	Husa: Music for Prague 1968
1	2	WtEQsOSVkbM	0.2	15.2	https://www.youtube.com/watch?v=WtEQsOSVkbM&start=0&end=15        	Suk: Serenade for Strings (opening)
1	3	d3B9zquVeMA	0.5	8.7	https://www.youtube.com/watch?v=d3B9zquVeMA&start=0&end=9         	Dvořák: Slavonic Dance Op. 46 No. 4
1	4	wkGQivw-2eY	1425.4	10.9	https://www.youtube.com/watch?v=wkGQivw-2eY&start=1425&end=1436   	Janáček: String Quartet No. 2 "Intimate Letters" (ending)
1	5	llB7NaWLUc4	2257.08	10	https://www.youtube.com/watch?v=llB7NaWLUc4&start=2257&end=2267   	Dvořák: Cello Concerto finale
1	6	3G4NKzmfC-Q	60.2	15.2	https://www.youtube.com/watch?v=3G4NKzmfC-Q&start=60&end=75       	Smetana: The Moldau from Má Vlast
						
2	1	Wk0oZ9JdTe0	470.6	14.6	https://www.youtube.com/watch?v=Wk0oZ9JdTe0&start=470&end=485     	Haydn: Violin Concerto No. 4
2	2	8fRZRl4JQWg	13.1	11.7	https://www.youtube.com/watch?v=8fRZRl4JQWg&start=13&end=24       	Barber: Violin Concerto
2	3	7_DOViAUbWg	0.3	9.1	https://www.youtube.com/watch?v=7_DOViAUbWg&start=0&end=9         	Elgar: Violin Concerto
2	4	v4s_laQS3Vo	9.6	8.4	https://www.youtube.com/watch?v=v4s_laQS3Vo&start=9&end=18        	Brahms: Violin Concerto
2	5	Jg0D8wrNwsU	13.3	7.9	https://www.youtube.com/watch?v=Jg0D8wrNwsU&start=13&end=21       	Tchaikovsky: Violin Concerto
						
3	1	17ozSeGw-fY	55	12.1	https://www.youtube.com/watch?v=17ozSeGw-fY&start=55&end=67       	Sweet Nothing
3	2	DkeiKbqa02g	68	9.8	https://www.youtube.com/watch?v=DkeiKbqa02g&start=68&end=77       	One Kiss
