Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	xcWW0TBhiaE	570	10	https://www.youtube.com/watch?v=xcWW0TBhiaE&start=570&end=580     	Original version of one of the finale's variations
1	2	B3EB5aojrAY	1458	10	https://www.youtube.com/watch?v=B3EB5aojrAY&start=1458&end=1468   	Fast section in 2nd movement
1	3	B3EB5aojrAY	1243.3	11.8	https://www.youtube.com/watch?v=B3EB5aojrAY&start=1243&end=1255   	Opening of 2nd movement
1	4	B3EB5aojrAY	2023	11.2	https://www.youtube.com/watch?v=B3EB5aojrAY&start=2023&end=2034   	Grand theme at end of 3rd movement
1	5	B3EB5aojrAY	266.4	10	https://www.youtube.com/watch?v=B3EB5aojrAY&start=266&end=276     	First theme of first movement
1	6	B3EB5aojrAY	6.03	10.4	https://www.youtube.com/watch?v=B3EB5aojrAY&start=6&end=16        	Opening
						
2	1	79feDtl96Wg	493.45	10.5	https://www.youtube.com/watch?v=79feDtl96Wg&start=493&end=503     	Scherzo from Overture, Scherzo, and Finale
2	2	3Jz1A-hgLEU	4932	10.4	https://www.youtube.com/watch?v=3Jz1A-hgLEU&start=4932&end=4942   	Symphony No. 2, ending
2	3	fSY78CUVCtE	1499.2	16.3	https://www.youtube.com/watch?v=fSY78CUVCtE&start=1499&end=1515   	Symphony No. 4, fourth movement end of introduction
2	4	3Jz1A-hgLEU	3973	10.7	https://www.youtube.com/watch?v=3Jz1A-hgLEU&start=3973&end=3983   	Symphony No. 2, second movement
2	5	SOhl73QnZIA	9.9	10.5	https://www.youtube.com/watch?v=SOhl73QnZIA&start=9&end=20        	Symphony No. 1, first movement
2	6	XwMFqm9XjNc	1.8	11	https://www.youtube.com/watch?v=XwMFqm9XjNc&start=1&end=12        	Symphony No. 3, fourth movement
						
3	1	0yQyjcpnx3g	112	10	https://www.youtube.com/watch?v=0yQyjcpnx3g&start=112&end=122     	Night Train (inner section)
3	2	cCQtdLW2Wow	0.2	12	https://www.youtube.com/watch?v=cCQtdLW2Wow&start=0&end=12        	Somewhere
3	3	QpCJ3fqtsws	182	10	https://www.youtube.com/watch?v=QpCJ3fqtsws&start=182&end=192     	Hymn to Freedom (inner section)
3	4	QpCJ3fqtsws	0.6	11.3	https://www.youtube.com/watch?v=QpCJ3fqtsws&start=0&end=11        	Hymn to Freedom
3	5	Uu9FfXQs4-A	79	10	https://www.youtube.com/watch?v=Uu9FfXQs4-A&start=79&end=89       	C Jam Blues (inner section)
3	6	Uu9FfXQs4-A	8	9.8	https://www.youtube.com/watch?v=Uu9FfXQs4-A&start=8&end=17        	C Jam Blues
						
4	1	P0S26CzbsB4	4436	9.8	https://www.youtube.com/watch?v=P0S26CzbsB4&start=4436&end=4445   	Ein ernster Tag, ein grosser Tag
4	2	iuKbgVHhZhQ	36	10.3	https://www.youtube.com/watch?v=iuKbgVHhZhQ&start=36&end=46       	Mir ist die Ehre wiederfahren
4	3	P0S26CzbsB4	11460	11.3	https://www.youtube.com/watch?v=P0S26CzbsB4&start=11460&end=11471 	Last love duet
4	4	P0S26CzbsB4	3.8	10.2	https://www.youtube.com/watch?v=P0S26CzbsB4&start=3&end=14        	Opening
4	5	EXi8U1twwrc	137	11.3	https://www.youtube.com/watch?v=EXi8U1twwrc&start=137&end=148     	Final trio
4	6	ahoZwPouYUE	1345	10	https://www.youtube.com/watch?v=ahoZwPouYUE&start=1345&end=1355   	Quick Waltz
						
5	1	GMG-YY4BHJY	6	10	https://www.youtube.com/watch?v=GMG-YY4BHJY&start=6&end=16        	The Wood Nymph, opening
5	2	6zpXPq-lHSM	3253.7	6	https://www.youtube.com/watch?v=6zpXPq-lHSM&start=3253&end=3259   	Kullervo, brass section at end of fourth movement
5	3	_rd8xHmAl88	43.2	9.2	https://www.youtube.com/watch?v=_rd8xHmAl88&start=43&end=52       	Symphony No. 3, second movement
5	4	qWE7_imNOzk	1279.5	8	https://www.youtube.com/watch?v=qWE7_imNOzk&start=1279&end=1287   	Symphony No. 1, scherzo
5	5	XHHfvdAqvn8	332	10.4	https://www.youtube.com/watch?v=XHHfvdAqvn8&start=332&end=342     	Symphony No. 7, Aino theme
5	6	wWlzbT_CvqI	0	8.2	https://www.youtube.com/watch?v=wWlzbT_CvqI&start=0&end=8         	Symphony No. 2, finale
5	7	KdARJ7W3DIo	144	10	https://www.youtube.com/watch?v=KdARJ7W3DIo&start=144&end=154     	Symphony No. 5, swan call
						
6	1	e-7dacohIdg	1570.2	10.1	https://www.youtube.com/watch?v=e-7dacohIdg&start=1570&end=1580   	String Quartet No. 15, second movement
6	2	e-7dacohIdg	2833	10.6	https://www.youtube.com/watch?v=e-7dacohIdg&start=2833&end=2843   	String Quartet No. 15, virtuosic violin part
6	3	ovEYC-mFjvU	1496	10	https://www.youtube.com/watch?v=ovEYC-mFjvU&start=1496&end=1506   	String Quartet No. 14, last movement
