Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	pAW0JzE9YS8	22	11	https://www.youtube.com/watch?v=pAW0JzE9YS8&start=22&end=33       	Ora a noi
1	2	KQQTFWmSvsg	40	11.3	https://www.youtube.com/watch?v=KQQTFWmSvsg&start=40&end=51       	Ancora un passo
1	3	25qOY9cwz88	10.4	10	https://www.youtube.com/watch?v=25qOY9cwz88&start=10&end=20       	Con onor muore
1	4	XcQNjV-YSiM	82	12	https://www.youtube.com/watch?v=XcQNjV-YSiM&start=82&end=94       	Love duet
1	5	cpqpvGSR3Bg	8	11	https://www.youtube.com/watch?v=cpqpvGSR3Bg&start=8&end=19        	Humming chorus
1	6	cXfGPOHgImk	3.2	9.2	https://www.youtube.com/watch?v=cXfGPOHgImk&start=3&end=12        	Un bel di
						
2	1	heVYVj-dY0Y	63.8	12.6	https://www.youtube.com/watch?v=heVYVj-dY0Y&start=63&end=76       	Meditation and processional for viola and piano
2	2	vEYyFxa3gHM	119	11	https://www.youtube.com/watch?v=vEYyFxa3gHM&start=119&end=130     	Suite Hébraïque: I. Rhapsodie
2	3	wUDjKaRdAkU	84	9	https://www.youtube.com/watch?v=wUDjKaRdAkU&start=84&end=93       	Baal Shem: I. Vidui
2	4	myTFlb9cfCw	7	10.4	https://www.youtube.com/watch?v=myTFlb9cfCw&start=7&end=17        	Concerto Grosso No. 1 Mvt. 1
2	5	qdm82JZMUL4	148	11	https://www.youtube.com/watch?v=qdm82JZMUL4&start=148&end=159     	From Jewish Life: I. Prayer
2	6	9VpVNhaYVdc	220	10	https://www.youtube.com/watch?v=9VpVNhaYVdc&start=220&end=230     	Schelomo
2	7	2lfA7-s8p94	27	13	https://www.youtube.com/watch?v=2lfA7-s8p94&start=27&end=40       	Baal Shem: II. Nigun
						
3	1	NZN8Vjbvfcg	269	11	https://www.youtube.com/watch?v=NZN8Vjbvfcg&start=269&end=280     	Mvt. 2
3	2	aC22f2buNLw	56	9	https://www.youtube.com/watch?v=aC22f2buNLw&start=56&end=65       	Mvt. 1
3	3	aC22f2buNLw	173	13	https://www.youtube.com/watch?v=aC22f2buNLw&start=173&end=186     	Mvt. 1
3	4	dzm1yUjaTz4	97	12	https://www.youtube.com/watch?v=dzm1yUjaTz4&start=97&end=109      	Mvt. 3
3	5	dzm1yUjaTz4	0.8	9.3	https://www.youtube.com/watch?v=dzm1yUjaTz4&start=0&end=10        	Mvt. 3
3	6	aC22f2buNLw	5	7.3	https://www.youtube.com/watch?v=aC22f2buNLw&start=5&end=12        	Mvt. 1
						
4	1	N94VRyENdGA	44.9	9.2	https://www.youtube.com/watch?v=N94VRyENdGA&start=44&end=54       	Strauss: Violin Sonata Mvt. 1
