Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	ji6_6soqtNk	764	9	https://www.youtube.com/watch?v=ji6_6soqtNk&start=764&end=773     	
1	2	ji6_6soqtNk	2136	6	https://www.youtube.com/watch?v=ji6_6soqtNk&start=2136&end=2142   	
1	3	ji6_6soqtNk	361	9	https://www.youtube.com/watch?v=ji6_6soqtNk&start=361&end=370     	
1	4	ji6_6soqtNk	37	13	https://www.youtube.com/watch?v=ji6_6soqtNk&start=37&end=50       	
1	5	ji6_6soqtNk	273	10	https://www.youtube.com/watch?v=ji6_6soqtNk&start=273&end=283     	
1	6	ji6_6soqtNk	5.3	10.2	https://www.youtube.com/watch?v=ji6_6soqtNk&start=5&end=15        	
1	7	ji6_6soqtNk	184	16.2	https://www.youtube.com/watch?v=ji6_6soqtNk&start=184&end=200     	
						
2	1	PuDt9_Nt8tA	2	10.3	https://www.youtube.com/watch?v=PuDt9_Nt8tA&start=2&end=12        	Scriabin: Symphony No. 3 in C minor “Le Divin Poème”: I.
2	2	TVakXOkE2G4	1541	9	https://www.youtube.com/watch?v=TVakXOkE2G4&start=1541&end=1550   	Kalinnikov: Symphony No. 1: III. Scherzo
2	3	tOjQ4j9bLvg	11.4	10.5	https://www.youtube.com/watch?v=tOjQ4j9bLvg&start=11&end=21       	Scriabin: Le Poème de l'extase
2	4	ffTel_kRaSI	1797	11	https://www.youtube.com/watch?v=ffTel_kRaSI&start=1797&end=1808   	Rachmaninoff: Symphony No. 1 in D minor, Op. 13: IV. Allegro con fuoco
2	5	TVakXOkE2G4	91	10	https://www.youtube.com/watch?v=TVakXOkE2G4&start=91&end=101      	Kalinnikov: Symphony No. 1: I.
2	6	iSJsQm6jl6o	1661	10.7	https://www.youtube.com/watch?v=iSJsQm6jl6o&start=1661&end=1671   	Rachmaninoff: Symphony No. 2 in E minor: III. Adagio
						
3	1	JB6C_zj2g5I	112	10	https://www.youtube.com/watch?v=JB6C_zj2g5I&start=112&end=122     	
3	2	Sq76wSK3nAA	0.4	7.6	https://www.youtube.com/watch?v=Sq76wSK3nAA&start=0&end=8         	
3	3	JFEftsKAUvY	0	6	https://www.youtube.com/watch?v=JFEftsKAUvY&start=0&end=6         	
3	4	XFTIX3zl_8s	13	8	https://www.youtube.com/watch?v=XFTIX3zl_8s&start=13&end=21       	
3	5	YGDTnRsxA5o	42	8	https://www.youtube.com/watch?v=YGDTnRsxA5o&start=42&end=50       	
3	6	ET3w3vzQW6g	0.2	7.8	https://www.youtube.com/watch?v=ET3w3vzQW6g&start=0&end=8         	
3	7	Lr58WHo2ndM	128	10	https://www.youtube.com/watch?v=Lr58WHo2ndM&start=128&end=138     	
						
4	1	ypClfhEwwCw	2896	9.5	https://www.youtube.com/watch?v=ypClfhEwwCw&start=2896&end=2905   	
4	2	ypClfhEwwCw	3092	7	https://www.youtube.com/watch?v=ypClfhEwwCw&start=3092&end=3099   	
4	3	ypClfhEwwCw	2591	5.8	https://www.youtube.com/watch?v=ypClfhEwwCw&start=2591&end=2596   	
4	4	ypClfhEwwCw	2395	10	https://www.youtube.com/watch?v=ypClfhEwwCw&start=2395&end=2405   	
4	5	ypClfhEwwCw	883	7.4	https://www.youtube.com/watch?v=ypClfhEwwCw&start=883&end=890     	
4	6	ypClfhEwwCw	1684	8.3	https://www.youtube.com/watch?v=ypClfhEwwCw&start=1684&end=1692   	
4	7	ypClfhEwwCw	21	10.5	https://www.youtube.com/watch?v=ypClfhEwwCw&start=21&end=31       	
4	8	ypClfhEwwCw	1537	9	https://www.youtube.com/watch?v=ypClfhEwwCw&start=1537&end=1546   	
