Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	70EFtk3vE7M	305	8	https://www.youtube.com/watch?v=70EFtk3vE7M&start=305&end=313     	Trio Sonata in A minor
1	2	70EFtk3vE7M	407	8	https://www.youtube.com/watch?v=70EFtk3vE7M&start=407&end=415     	Trio Sonata in A minor
1	3	voOGVv2b0Fs	22	6	https://www.youtube.com/watch?v=voOGVv2b0Fs&start=22&end=28       	Der Herr ist mit mir
1	4	5fmp_DQGN-8	127	8	https://www.youtube.com/watch?v=5fmp_DQGN-8&start=127&end=135     	Chaconne in E minor
1	5	9Z4Ua7k0n7M	175	8	https://www.youtube.com/watch?v=9Z4Ua7k0n7M&start=175&end=183     	Prelude, Fugue and Chaconne in C major
1	6	w2GoH4-Gm44	5	8	https://www.youtube.com/watch?v=w2GoH4-Gm44&start=5&end=13        	Passacaglia in D minor 
1	7	9Z4Ua7k0n7M	14	7	https://www.youtube.com/watch?v=9Z4Ua7k0n7M&start=14&end=21       	Prelude, Fugue and Chaconne in C major
						
2	1	SPnSm5FA15I	154	8	https://www.youtube.com/watch?v=SPnSm5FA15I&start=154&end=162     	Veil pas de deux
2	2	SPnSm5FA15I	87	10	https://www.youtube.com/watch?v=SPnSm5FA15I&start=87&end=97       	Veil pas de deux
2	3	PG9Q_2RXjdY	415	8	https://www.youtube.com/watch?v=PG9Q_2RXjdY&start=415&end=423     	Pas de Deux
2	4	R-4phC-CctQ	75	8	https://www.youtube.com/watch?v=R-4phC-CctQ&start=75&end=83       	right before Kingdom of the Shades
2	5	PG9Q_2RXjdY	28	10	https://www.youtube.com/watch?v=PG9Q_2RXjdY&start=28&end=38       	Pas de Deux
2	6	R-4phC-CctQ	442	9	https://www.youtube.com/watch?v=R-4phC-CctQ&start=442&end=451     	Kingdom of the Shades
2	7	R-4phC-CctQ	151	12	https://www.youtube.com/watch?v=R-4phC-CctQ&start=151&end=163     	Kingdom of the Shades
						
3	1	_QY0W1vh4Lg	48	12	https://www.youtube.com/watch?v=_QY0W1vh4Lg&start=48&end=60       	Holst, "Two Eastern Pictures", 1st mvt (Spring)
3	2	_BfmJpilvzE	285	8	https://www.youtube.com/watch?v=_BfmJpilvzE&start=285&end=293     	Piazzolla, "Estaciones Porteñas", "Primavera Porteña"
3	3	_BfmJpilvzE	160	8	https://www.youtube.com/watch?v=_BfmJpilvzE&start=160&end=168     	Piazzolla, "Estaciones Porteñas", "Primavera Porteña"
3	4	_BfmJpilvzE	0	7	https://www.youtube.com/watch?v=_BfmJpilvzE&start=0&end=7         	Piazzolla, "Estaciones Porteñas", "Primavera Porteña"
3	5	kPaUtnJTMn8	553	7	https://www.youtube.com/watch?v=kPaUtnJTMn8&start=553&end=560     	Vivaldi, "Le quattro stagioni", "La primavera", 3rd mvt
3	6	kPaUtnJTMn8	322	7	https://www.youtube.com/watch?v=kPaUtnJTMn8&start=322&end=329     	Vivaldi, "Le quattro stagioni", "La primavera", 2nd mvt
3	7	kPaUtnJTMn8	210	9	https://www.youtube.com/watch?v=kPaUtnJTMn8&start=210&end=219     	Vivaldi, "Le quattro stagioni", "La primavera", 1st mvt
						
4	1	E67cbuaFuLQ	15	6	https://www.youtube.com/watch?v=E67cbuaFuLQ&start=15&end=21       	Tosca, Act III: Mario Cavaradossi? A voi (apparently that is him singing the role of the jailer)
4	2	Gm47T1EukkE	51	6	https://www.youtube.com/watch?v=Gm47T1EukkE&start=51&end=57       	Hebrew stuff about Prokofiev
4	3	meCVwVSPQ-k	71	12	https://www.youtube.com/watch?v=meCVwVSPQ-k&start=71&end=83       	Introduction to Pines of Rome in Fantasia 2000
4	4	Tk2eR1epPMs	11	9	https://www.youtube.com/watch?v=Tk2eR1epPMs&start=11&end=20       	with John Denver
4	5	5sVqGYXBVG0	58	6	https://www.youtube.com/watch?v=5sVqGYXBVG0&start=58&end=64       	John Williams, "The Chairman's Waltz" from Memoirs of a Geisha 
4	6	DsdqGjyHapk	12	8	https://www.youtube.com/watch?v=DsdqGjyHapk&start=12&end=20       	John Williams, "Air and Simple Gifts"
4	7	bNrVFkBDte8	16	9	https://www.youtube.com/watch?v=bNrVFkBDte8&start=16&end=25       	John Williams, theme from "Schindler's List"
						
5	1	I0aFHjUohqI	130	7	https://www.youtube.com/watch?v=I0aFHjUohqI&start=130&end=137     	John Murphy, "3:59 am" from the album Anonymous Rejected Filmscore
5	2	T4ZjLplzMjc	41	8	https://www.youtube.com/watch?v=T4ZjLplzMjc&start=41&end=49       	John Murphy, "Who Are You" for Miami Vice (2006)
5	3	lzRukzNYRAE	0	9	https://www.youtube.com/watch?v=lzRukzNYRAE&start=0&end=9         	Walter Murphy, "California Strut" 
5	4	JHytL_cysKE	66	8	https://www.youtube.com/watch?v=JHytL_cysKE&start=66&end=74       	Walter Murphy, "Russian Dressing" 
5	5	G1c2KpurNWo	94	7	https://www.youtube.com/watch?v=G1c2KpurNWo&start=94&end=101      	John Murphy, "Adagio in D Minor" for Sunshine (2007)
5	6	s4BzNzIuNao	1	6	https://www.youtube.com/watch?v=s4BzNzIuNao&start=1&end=7         	Walter Murphy, theme for "Family Guy"
5	7	4MFbn8EbB4k	30	8	https://www.youtube.com/watch?v=4MFbn8EbB4k&start=30&end=38       	Walter Murphy, "A Fifth of Beethoven" featured in Saturday Night Fever 
5	8	ST2H8FWDvEA	110	7	https://www.youtube.com/watch?v=ST2H8FWDvEA&start=110&end=117     	John Murphy, "In the House – In a Heartbeat" for 28 Days Later (2002)
						
6	1	xKXGJ1m_mE4	31	6	https://www.youtube.com/watch?v=xKXGJ1m_mE4&start=31&end=37       	9th movement (used in 5th movement of his 6 Bagatelles)
6	2	Xys1TyatU1s	30	8	https://www.youtube.com/watch?v=Xys1TyatU1s&start=30&end=38       	4th movement
6	3	zSugkgY-tKA	68	7	https://www.youtube.com/watch?v=zSugkgY-tKA&start=68&end=75       	5th movement (used in 2nd movement of his 6 Bagatelles)
