Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	oR7KOncoYOc	4.5	9	https://www.youtube.com/watch?v=oR7KOncoYOc&start=4&end=13        	Rzewski: Les Moutons de Panurge
1	2	eswKJ_EOdf8	105	12.4	https://www.youtube.com/watch?v=eswKJ_EOdf8&start=105&end=117     	Michael Nyman: “Chasing Sheep is Best Left to Shepherds”
1	3	ag8Yqvs8h54	52.5	10.5	https://www.youtube.com/watch?v=ag8Yqvs8h54&start=52&end=63       	“Click Go the Shears,” traditional Australian bush song
1	4	g799LFGqiv8	90.5	9	https://www.youtube.com/watch?v=g799LFGqiv8&start=90&end=99       	Handel: Messiah: “All We Like Sheep”
1	5	QupxwtOmvp8	40	13	https://www.youtube.com/watch?v=QupxwtOmvp8&start=40&end=53       	Richard Strauss: Don Quixote: Variation II. The battle with the sheep
1	6	g799LFGqiv8	38.5	10.5	https://www.youtube.com/watch?v=g799LFGqiv8&start=38&end=49       	Handel: Messiah: “All We Like Sheep”
1	7	TYjqnlc7MRw	9.5	10	https://www.youtube.com/watch?v=TYjqnlc7MRw&start=9&end=19        	Bach: “Sheep May Safely Graze”
						
2	1	Lsqv-E9Vmyg	69	12.75	https://www.youtube.com/watch?v=Lsqv-E9Vmyg&start=69&end=81       	Chico Marx playing “All I Do is Dream of You”
2	2	MfyzjhimSI8	101	11.6	https://www.youtube.com/watch?v=MfyzjhimSI8&start=101&end=112     	Allan Jones singing “Alone”
2	3	W9Wt5gl6W9w	38	10	https://www.youtube.com/watch?v=W9Wt5gl6W9w&start=38&end=48       	Allan Jones singing “Cosi, Cosa”
2	4	e1djDThK8e4	168	13	https://www.youtube.com/watch?v=e1djDThK8e4&start=168&end=181     	Chico and Harpo replace the sheet music to Il Trovatore with “Take Me Out to the Ball Game”
2	5	PFu0KyrNAAA	175	14.3	https://www.youtube.com/watch?v=PFu0KyrNAAA&start=175&end=189     	Part of the famous crowded stateroom scene
2	6	G_Sy6oiJbEk	249.5	8.3	https://www.youtube.com/watch?v=G_Sy6oiJbEk&start=249&end=257     	The “sanity clause” joke from the contract scene
						
3	1	gEQM7Dni_mY	20.5	13.5	https://www.youtube.com/watch?v=gEQM7Dni_mY&start=20&end=34       	Selim Palmgren: “Bird Song” prelude
3	2	9MJUAzEo3UI	26	15	https://www.youtube.com/watch?v=9MJUAzEo3UI&start=26&end=41       	Kabalevsky: Op. 38 No. 9
3	3	cV-e59MaVlI	45	9	https://www.youtube.com/watch?v=cV-e59MaVlI&start=45&end=54       	Messiaen: Prelude No. 1 “La colombe” (“The Dove”)
3	4	XYst93FCuJg	23.5	9.5	https://www.youtube.com/watch?v=XYst93FCuJg&start=23&end=33       	Gershwin: Prelude No. 2 “Blue Lullaby”
3	5	JcFHuUJE0mU	0.5	10.5	https://www.youtube.com/watch?v=JcFHuUJE0mU&start=0&end=11        	Bach: Well-Tempered Clavier Book 1: Prelude No. 2 in C minor
3	6	6OFHXmiZP38	84.4	10.5	https://www.youtube.com/watch?v=6OFHXmiZP38&start=84&end=94       	Chopin: Raindrop Prelude
						
4	1	DHpmpGnBDIA	0.4	10.7	https://www.youtube.com/watch?v=DHpmpGnBDIA&start=0&end=11        	Traditional Mapuche music
4	2	zxXwi2b35uM	77.5	16.3	https://www.youtube.com/watch?v=zxXwi2b35uM&start=77&end=93       	“Chile lindo” by Los Huasos Quincheros
4	3	Xz6PJTGA-i8	0.8	14.8	https://www.youtube.com/watch?v=Xz6PJTGA-i8&start=0&end=15        	La Concentida, traditional cueca
4	4	w67-hlaUSIs	37.5	11	https://www.youtube.com/watch?v=w67-hlaUSIs&start=37&end=48       	Violet Parra: “Gracias a la vida”
4	5	GRmre8ggkcY	60.4	10.8	https://www.youtube.com/watch?v=GRmre8ggkcY&start=60&end=71       	Victor Jara: “Te recuerdo Amanda”
4	6	7F_9FEx7ymg	71.4	14	https://www.youtube.com/watch?v=7F_9FEx7ymg&start=71&end=85       	The people united will never be defeated! (a cover I like by Inti Illimati)
						
5	1	3UmcLNn_iX0	149	10.5	https://www.youtube.com/watch?v=3UmcLNn_iX0&start=149&end=159     	Fourth movement
5	2	K4XnrxNRc2Y	7.75	14.25	https://www.youtube.com/watch?v=K4XnrxNRc2Y&start=7&end=22        	Night
5	3	sGVN6loPjSA	187	11.5	https://www.youtube.com/watch?v=sGVN6loPjSA&start=187&end=198     	Adoration of Veless and Ala
5	4	sGVN6loPjSA	33	9.8	https://www.youtube.com/watch?v=sGVN6loPjSA&start=33&end=42       	Adoration of Veless and Ala
5	5	Y4U7wNZu-CU	96	13.4	https://www.youtube.com/watch?v=Y4U7wNZu-CU&start=96&end=109      	Dance of the Pagan Monster
