Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	diH3aofoNmk	6	10	https://www.youtube.com/watch?v=diH3aofoNmk&start=6&end=16        	Mahler: Symphony No. 2 – distinctive rough and fast beginning
1	2	ztLr3kaN4_c	2533	9	https://www.youtube.com/watch?v=ztLr3kaN4_c&start=2533&end=2542   	Ives: Symphony No. 2 finale – distinctive prolonged Bronx cheer
1	3	ckpRPOJ9TaQ	85	10	https://www.youtube.com/watch?v=ckpRPOJ9TaQ&start=85&end=95       	Shostakovich: Symphony No. 5 rehearsal
1	4	tmDEuFaoSC0	0.6	9.4	https://www.youtube.com/watch?v=tmDEuFaoSC0&start=0&end=10        	Shostakovich: Symphony No. 5 finale – distinctive super fast beginning and no accelerando
1	5	SvWPM783TOE	252	8	https://www.youtube.com/watch?v=SvWPM783TOE&start=252&end=260     	Brahms: Piano Concerto No. 1 with Glenn Gould
1	6	SvWPM783TOE	51	7.5	https://www.youtube.com/watch?v=SvWPM783TOE&start=51&end=58       	Brahms speech
1	7	rxwWlQNGeKE	40	7.3	https://www.youtube.com/watch?v=rxwWlQNGeKE&start=40&end=47       	Young People's Concerts
						
2	1	3CW-DghETks	4	10	https://www.youtube.com/watch?v=3CW-DghETks&start=4&end=14        	Das schöne Fest
2	2	OFi5r93uMf0	0	11	https://www.youtube.com/watch?v=OFi5r93uMf0&start=0&end=11        	Jerum! Jerum!
2	3	cmzlgBD8alY	34	7	https://www.youtube.com/watch?v=cmzlgBD8alY&start=34&end=41       	Der Singer Meisterschlag
2	4	06uAEaIzJjc	28	12	https://www.youtube.com/watch?v=06uAEaIzJjc&start=28&end=40       	Am stillen herd
2	5	rJNpTmBBz78	22.5	13	https://www.youtube.com/watch?v=rJNpTmBBz78&start=22&end=35       	Preislied
2	6	3nhcTllJgIY	0	13	https://www.youtube.com/watch?v=3nhcTllJgIY&start=0&end=13        	Prelude
						
3	1	5L7AA9ncnmM	29	10	https://www.youtube.com/watch?v=5L7AA9ncnmM&start=29&end=39       	Symphony Poem of 3 Notes
3	2	enNodp3mtS4	67.7	8.3	https://www.youtube.com/watch?v=enNodp3mtS4&start=67&end=76       	Water Passion
3	3	GUDmL97m8_E	240.3	9.7	https://www.youtube.com/watch?v=GUDmL97m8_E&start=240&end=250     	Water Concerto
3	4	w47v5Nl5g7Q	176	9	https://www.youtube.com/watch?v=w47v5Nl5g7Q&start=176&end=185     	Internet Symphony “Eroica”
3	5	w47v5Nl5g7Q	194	13	https://www.youtube.com/watch?v=w47v5Nl5g7Q&start=194&end=207     	Internet Symphony “Eroica”
3	6	w47v5Nl5g7Q	291	15	https://www.youtube.com/watch?v=w47v5Nl5g7Q&start=291&end=306     	Internet Symphony “Eroica”
3	7	vD7mt8F4Yiw	13	10	https://www.youtube.com/watch?v=vD7mt8F4Yiw&start=13&end=23       	Crouching Tiger, Hidden Dragon
						
4	1	VmYba5lkotQ	15	10	https://www.youtube.com/watch?v=VmYba5lkotQ&start=15&end=25       	Waldseligkeit
4	2	6dFDgRpfD_g	2	12	https://www.youtube.com/watch?v=6dFDgRpfD_g&start=2&end=14        	Wiegenlied
4	3	XSC4ulE_jdQ	105	9.6	https://www.youtube.com/watch?v=XSC4ulE_jdQ&start=105&end=114     	Beim Schlafengehen violin solo
4	4	4bZtcXrD7eM	62	11.3	https://www.youtube.com/watch?v=4bZtcXrD7eM&start=62&end=73       	Morgen
4	5	V9qKJGT0Ypg	0	11	https://www.youtube.com/watch?v=V9qKJGT0Ypg&start=0&end=11        	Ist ein Traum
4	6	AnRhDsqx5Zs	26	10.4	https://www.youtube.com/watch?v=AnRhDsqx5Zs&start=26&end=36       	Hab' mir's gelobt
						
5	1	pts9N1iQ_cg	562.25	8	https://www.youtube.com/watch?v=pts9N1iQ_cg&start=562&end=570     	Janáček: Taras Bulba: II.
5	2	PiBaIo7xAjE	6.7	7.8	https://www.youtube.com/watch?v=PiBaIo7xAjE&start=6&end=14        	Janáček: Violin Sonata – opening
5	3	388L3rov3bA	7.8	6.5	https://www.youtube.com/watch?v=388L3rov3bA&start=7&end=14        	Janáček: String Quartet No. 1 – cello
5	4	JV6GI3ROj8c	147	9	https://www.youtube.com/watch?v=JV6GI3ROj8c&start=147&end=156     	Janáček: Sinfonietta: II.
5	5	k02ZNvKigh8	1425.75	7	https://www.youtube.com/watch?v=k02ZNvKigh8&start=1425&end=1432   	Smetana: String Quartet: IV.
5	6	k02ZNvKigh8	1647.7	8.5	https://www.youtube.com/watch?v=k02ZNvKigh8&start=1647&end=1656   	Smetana: String Quartet: IV. – high E
5	7	3G4NKzmfC-Q	60.8	14.5	https://www.youtube.com/watch?v=3G4NKzmfC-Q&start=60&end=75       	Smetana: Má vlast: Die Moldau
						
6	1	06O5TWFMmPs	1088.1	9.3	https://www.youtube.com/watch?v=06O5TWFMmPs&start=1088&end=1097   	III. middle
6	2	06O5TWFMmPs	979.7	11	https://www.youtube.com/watch?v=06O5TWFMmPs&start=979&end=990     	III. Chopin-esque
