Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	KHt4PFKiQE0	0.7	12.5	https://www.youtube.com/watch?v=KHt4PFKiQE0&start=0&end=13        	Clarinet Sonata opening
1	2	3USIIx7-QXQ	160	16	https://www.youtube.com/watch?v=3USIIx7-QXQ&start=160&end=176     	Orient and Occident
1	3	Ktt7s7yDGxc	20.3	13	https://www.youtube.com/watch?v=Ktt7s7yDGxc&start=20&end=33       	Christmas Oratorio
1	4	5LOFhsksAYw	189	10.3	https://www.youtube.com/watch?v=5LOFhsksAYw&start=189&end=199     	Carnival of the Animals – Hémiones
1	5	YyknBTm_YyM	55.2	6.8	https://www.youtube.com/watch?v=YyknBTm_YyM&start=55&end=62       	Danse Macabre
1	6	3qrKjywjo7Q	10	11	https://www.youtube.com/watch?v=3qrKjywjo7Q&start=10&end=21       	Carnival of the Animals – The Swan
						
2	1	zfP29uN33L8	619.7	7.5	https://www.youtube.com/watch?v=zfP29uN33L8&start=619&end=627     	mvt 2 clarinet thing
2	2	zfP29uN33L8	1353	5	https://www.youtube.com/watch?v=zfP29uN33L8&start=1353&end=1358   	mvt 3 woodwind dovetailing thing
2	3	zfP29uN33L8	328	6	https://www.youtube.com/watch?v=zfP29uN33L8&start=328&end=334     	mvt 1 F♯ major section
2	4	zfP29uN33L8	1825	9	https://www.youtube.com/watch?v=zfP29uN33L8&start=1825&end=1834   	mvt 4 C minor section
2	5	zfP29uN33L8	787.6	12.7	https://www.youtube.com/watch?v=zfP29uN33L8&start=787&end=800     	mvt 2 flute/oboe
2	6	zfP29uN33L8	1609.8	8.2	https://www.youtube.com/watch?v=zfP29uN33L8&start=1609&end=1618   	mvt 4 opening
2	7	zfP29uN33L8	34	10	https://www.youtube.com/watch?v=zfP29uN33L8&start=34&end=44       	mvt 1 flute solo
2	8	zfP29uN33L8	1640.2	10	https://www.youtube.com/watch?v=zfP29uN33L8&start=1640&end=1650   	mvt 4 cello theme
						
3	1	VT_Dv5VWy2A	43.35	14.6	https://www.youtube.com/watch?v=VT_Dv5VWy2A&start=43&end=57       	Price – Symphony No. 3
3	2	3PDMKV2pdxk	1.8	20	https://www.youtube.com/watch?v=3PDMKV2pdxk&start=1&end=21        	Copland – Inscape
3	3	W9NTlug1xgI	169	10	https://www.youtube.com/watch?v=W9NTlug1xgI&start=169&end=179     	Schuman – When Jesus Wept
3	4	VRoXE2IOyP0	353	10	https://www.youtube.com/watch?v=VRoXE2IOyP0&start=353&end=363     	Reich – Tehillim
3	5	CBZM_x2N_RI	241	8	https://www.youtube.com/watch?v=CBZM_x2N_RI&start=241&end=249     	Adams – Grand Pianola Music
3	6	VEMyj-8I3pw	82	12	https://www.youtube.com/watch?v=VEMyj-8I3pw&start=82&end=94       	Copland – Fanfare for the Common Man
						
4	1	8UGbVAGtGVI	150	15.4	https://www.youtube.com/watch?v=8UGbVAGtGVI&start=150&end=165     	sacristan
4	2	ImIcwpL3Yh4	111	15.3	https://www.youtube.com/watch?v=ImIcwpL3Yh4&start=111&end=126     	Io de sospiri
4	3	hxdiJ74AL5Y	17	12.3	https://www.youtube.com/watch?v=hxdiJ74AL5Y&start=17&end=29       	E lucevan le stelle clarinet solo
4	4	0euYKIMfV4I	155	15.4	https://www.youtube.com/watch?v=0euYKIMfV4I&start=155&end=170     	Te Deum
4	5	FR6m8hgr0v0	24.85	5.5	https://www.youtube.com/watch?v=FR6m8hgr0v0&start=24&end=30       	Scarpia motif
4	6	zXQvPwYYVBI	3.3	6.5	https://www.youtube.com/watch?v=zXQvPwYYVBI&start=3&end=9         	Vissi d'arte
						
5	1	5iG0zcR045U	200	4	https://www.youtube.com/watch?v=5iG0zcR045U&start=200&end=204     	Maestro's broken baton
5	2	Oe-DI7n5iPA	4	15	https://www.youtube.com/watch?v=Oe-DI7n5iPA&start=4&end=19        	Miss Rhode Island
5	3	tUd8Qs_DAZ0	5	3	https://www.youtube.com/watch?v=tUd8Qs_DAZ0&start=5&end=8         	Get Well Soon song
5	4	yg-TqEFYcfM	14	10.6	https://www.youtube.com/watch?v=yg-TqEFYcfM&start=14&end=24       	George's answering machine
5	5	ngcotxUZA9E	38	8	https://www.youtube.com/watch?v=ngcotxUZA9E&start=38&end=46       	Newman singing with truck on fire
5	6	eje2Eh37DxM	31	10	https://www.youtube.com/watch?v=eje2Eh37DxM&start=31&end=41       	Rochelle Rochelle: The Musical
