Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	gcgI2UTDcXg	2609.4	9	https://www.youtube.com/watch?v=gcgI2UTDcXg&start=2609&end=2618   	La serenata del espectro
1	2	gcgI2UTDcXg	1191	9	https://www.youtube.com/watch?v=gcgI2UTDcXg&start=1191&end=1200   	El fandango de Candil
1	3	gcgI2UTDcXg	1832	12	https://www.youtube.com/watch?v=gcgI2UTDcXg&start=1832&end=1844   	Quejas o la maja y el ruiseñor
1	4	gcgI2UTDcXg	2123	16	https://www.youtube.com/watch?v=gcgI2UTDcXg&start=2123&end=2139   	El amor y la muerte
1	5	gcgI2UTDcXg	1883.5	9	https://www.youtube.com/watch?v=gcgI2UTDcXg&start=1883&end=1892   	El amor y la muerte
1	6	gcgI2UTDcXg	67	9.4	https://www.youtube.com/watch?v=gcgI2UTDcXg&start=67&end=76       	Los requiebros
1	7	gcgI2UTDcXg	1515.5	8	https://www.youtube.com/watch?v=gcgI2UTDcXg&start=1515&end=1523   	Quejas o la maja y el ruiseñor
						
2	1	PmU23XK_cZ8	25	8	https://www.youtube.com/watch?v=PmU23XK_cZ8&start=25&end=33       	The All-Night Vigil: Praise the Lord (Greek Chant, Ps. 104)
2	2	VBNyMqCb69Y	37	14.3	https://www.youtube.com/watch?v=VBNyMqCb69Y&start=37&end=51       	Songs Op. 4: V. The harvest of sorrow
2	3	LoI2SNzyjW4	306	13	https://www.youtube.com/watch?v=LoI2SNzyjW4&start=306&end=319     	Suite No. 2 for 2 Pianos: Waltz
2	4	6V4-Z3fksjo	1118.3	10	https://www.youtube.com/watch?v=6V4-Z3fksjo&start=1118&end=1128   	Symphony No. 2: mvt. 2
2	5	6V4-Z3fksjo	1737	9	https://www.youtube.com/watch?v=6V4-Z3fksjo&start=1737&end=1746   	Symphony No. 2: mvt. 3
2	6	z0C56PPOi4k	0.4	6	https://www.youtube.com/watch?v=z0C56PPOi4k&start=0&end=6         	Rhapsody on a Theme of Paganini, Op. 43: Theme
						
3	1	nK4K0owmWUc	987	11	https://www.youtube.com/watch?v=nK4K0owmWUc&start=987&end=998     	Symphony No. 2: mvt. 2
3	2	nK4K0owmWUc	0.3	11	https://www.youtube.com/watch?v=nK4K0owmWUc&start=0&end=11        	Symphony No. 2: mvt. 1
3	3	TeKZAbFj83I	1027.5	8	https://www.youtube.com/watch?v=TeKZAbFj83I&start=1027&end=1035   	Violin Concerto in D minor: mvt. 2
3	4	_JlGS1m1PL4	3	12	https://www.youtube.com/watch?v=_JlGS1m1PL4&start=3&end=15        	Gayaneh: Introduction
3	5	TeKZAbFj83I	258	10	https://www.youtube.com/watch?v=TeKZAbFj83I&start=258&end=268     	Violin Concerto in D minor: mvt. 1
3	6	TeKZAbFj83I	25	7	https://www.youtube.com/watch?v=TeKZAbFj83I&start=25&end=32       	Violin Concerto in D minor: mvt. 1
3	7	_JlGS1m1PL4	7734	9	https://www.youtube.com/watch?v=_JlGS1m1PL4&start=7734&end=7743   	Gayaneh: Sabre Dance
						
4	1	2evXiwpeGkE	160	6	https://www.youtube.com/watch?v=2evXiwpeGkE&start=160&end=166     	Liszt: Waldesrauschen (Forest Murmurs), S. 145/1
4	2	2evXiwpeGkE	41.35	11.1	https://www.youtube.com/watch?v=2evXiwpeGkE&start=41&end=52       	Liszt: Waldesrauschen (Forest Murmurs), S. 145/1
4	3	jE3IrjtDEGc	507.4	8	https://www.youtube.com/watch?v=jE3IrjtDEGc&start=507&end=515     	Schumann: Waldszenen Op. 82: V. Freundliche Landschaft
4	4	jE3IrjtDEGc	0.9	15	https://www.youtube.com/watch?v=jE3IrjtDEGc&start=0&end=15        	Schumann: Waldszenen Op. 82: I. Eintritt
4	5	mdve48nptNk	610	10	https://www.youtube.com/watch?v=mdve48nptNk&start=610&end=620     	Respighi: Pines of Rome: III. I pini del Gianicolo
4	6	mdve48nptNk	0.7	7.6	https://www.youtube.com/watch?v=mdve48nptNk&start=0&end=8         	Respighi: Pines of Rome: I. I pini di Villa Borghese
						
5	1	ULnCsIFfa7E	57.5	6.5	https://www.youtube.com/watch?v=ULnCsIFfa7E&start=57&end=64       	Berceuse sur le nom de Gabriel Fauré
5	2	fynAXPALdhE	298	12	https://www.youtube.com/watch?v=fynAXPALdhE&start=298&end=310     	Sonatine: mvt. 2
5	3	fynAXPALdhE	653	10	https://www.youtube.com/watch?v=fynAXPALdhE&start=653&end=663     	Sonatine: mvt. 3
5	4	zUMYoWiox7s	157	12	https://www.youtube.com/watch?v=zUMYoWiox7s&start=157&end=169     	Violin Sonata No. 2 in G major: mvt. 2
5	5	4XHjsxcmEjM	2197	11	https://www.youtube.com/watch?v=4XHjsxcmEjM&start=2197&end=2208   	Piano Concerto in G: mvt. 2
5	6	4XHjsxcmEjM	1634.8	9	https://www.youtube.com/watch?v=4XHjsxcmEjM&start=1634&end=1643   	Piano Concerto in G: mvt. 1
5	7	r30D3SW4OVw	10	7	https://www.youtube.com/watch?v=r30D3SW4OVw&start=10&end=17       	Boléro
						
6	1	1hIO4UbC0Pc	21	6	https://www.youtube.com/watch?v=1hIO4UbC0Pc&start=21&end=27       	Three Worlds: Music From Woolf Works: I. Words
6	3	3vEuKUe4EE4	60	7	https://www.youtube.com/watch?v=3vEuKUe4EE4&start=60&end=67       	Three Worlds: Music From Woolf Works: II. In the Garden
6	2	yShmGUlylzA	0	9	https://www.youtube.com/watch?v=yShmGUlylzA&start=0&end=9         	The Blue Notebooks: Written on the sky
6	4	rVN1B-tUpgs	102	7	https://www.youtube.com/watch?v=rVN1B-tUpgs&start=102&end=109     	The Blue Notebooks: On the Nature of Daylight
6	5	41IOkVjy3MM	6	7	https://www.youtube.com/watch?v=41IOkVjy3MM&start=6&end=13        	The Four Seasons Recomposed: Spring I
6	6	AcBy-tbc2_E	37	9	https://www.youtube.com/watch?v=AcBy-tbc2_E&start=37&end=46       	The Four Seasons Recomposed: Winter I
						
7	1	JxBUbfRDLZI	14.5	13	https://www.youtube.com/watch?v=JxBUbfRDLZI&start=14&end=27       	mvt. 2
7	2	JxBUbfRDLZI	236	10	https://www.youtube.com/watch?v=JxBUbfRDLZI&start=236&end=246     	mvt. 2
7	3	E4q9RyYU8DY	12	13	https://www.youtube.com/watch?v=E4q9RyYU8DY&start=12&end=25       	mvt. 3
7	4	E4q9RyYU8DY	268.7	8.5	https://www.youtube.com/watch?v=E4q9RyYU8DY&start=268&end=277     	mvt. 3
7	5	D6LRyyyrDzo	351	13	https://www.youtube.com/watch?v=D6LRyyyrDzo&start=351&end=364     	mvt. 1
7	6	D6LRyyyrDzo	9	8	https://www.youtube.com/watch?v=D6LRyyyrDzo&start=9&end=17        	mvt. 1
						
8	1	oBR5i9mtoI8	74	12	https://www.youtube.com/watch?v=oBR5i9mtoI8&start=74&end=86       	Takemitsu: Requiem for strings
8	2	oBR5i9mtoI8	7	13	https://www.youtube.com/watch?v=oBR5i9mtoI8&start=7&end=20        	Takemitsu: Requiem for strings
8	3	hJpPXNyM2Kk	1514.4	10	https://www.youtube.com/watch?v=hJpPXNyM2Kk&start=1514&end=1524   	Yoshimatsu: Piano Concerto “Memo Flora”, Op. 67: mvt. 3
8	4	73hXRuRJDFQ	0.6	9.4	https://www.youtube.com/watch?v=73hXRuRJDFQ&start=0&end=10        	Takemitsu: Rain Tree Sketch II
8	5	WDH_nJM3djc	52	12	https://www.youtube.com/watch?v=WDH_nJM3djc&start=52&end=64       	Hisaishi: Kikujiro: Summer
8	6	BEtJxfhxRh8	18	13.2	https://www.youtube.com/watch?v=BEtJxfhxRh8&start=18&end=31       	Hisaishi: Spirited Away: One Summer's Day
						
9	1	_Hg5jaEkA3A	0.7	10.3	https://www.youtube.com/watch?v=_Hg5jaEkA3A&start=0&end=11        	Prelude, Fugue, and Variation Op. 18: Fugue, theme
9	2	XqPe0ZagS4c	416	9	https://www.youtube.com/watch?v=XqPe0ZagS4c&start=416&end=425     	Prelude, Fugue, and Variation Op. 18: Variation, theme
9	3	ebuYi65VwZY	21.9	9	https://www.youtube.com/watch?v=ebuYi65VwZY&start=21&end=30       	Prelude, Chorale, and Fugue: Prelude
9	4	_XrWnggqboM	12.8	11	https://www.youtube.com/watch?v=_XrWnggqboM&start=12&end=23       	Symphonic Variations: Theme
9	5	0nF6TobCyV4	161	13	https://www.youtube.com/watch?v=0nF6TobCyV4&start=161&end=174     	Symphony in D minor: mvt. 1
9	6	5KWxQeAqdWo	8.7	11	https://www.youtube.com/watch?v=5KWxQeAqdWo&start=8&end=19        	Violin Sonata in A major: mvt. 1
						
10	1	BMf314Ougus	29	11	https://www.youtube.com/watch?v=BMf314Ougus&start=29&end=40       	Adagio in C minor for Glass Armonica, K. 617
10	2	CUP-GdHrXEU	135	14	https://www.youtube.com/watch?v=CUP-GdHrXEU&start=135&end=149     	Die Entführung aus dem Serail: “Martern aller Arten” aria
10	3	vhMAhuY4DA8	190	12	https://www.youtube.com/watch?v=vhMAhuY4DA8&start=190&end=202     	Mass in C minor, K. 427: Kyrie
10	4	yX-I_2WnURA	0.5	13	https://www.youtube.com/watch?v=yX-I_2WnURA&start=0&end=13        	Requiem, K. 626: Dies Irae
10	5	_zcPkxPHC4Y	40	12	https://www.youtube.com/watch?v=_zcPkxPHC4Y&start=40&end=52       	Die Zauberflöte: Queen of the Night Aria
10	6	anaGzzX8P7E	3.8	6.2	https://www.youtube.com/watch?v=anaGzzX8P7E&start=3&end=10        	Symphony No. 25 in G minor, K. 183: mvt. 1
						
11	1	zuxPKikM0NI	2625	13	https://www.youtube.com/watch?v=zuxPKikM0NI&start=2625&end=2638   	Brahms: Piano Concerto No. 1: mvt. 3
11	2	zuxPKikM0NI	252.7	12.3	https://www.youtube.com/watch?v=zuxPKikM0NI&start=252&end=265     	Brahms: Piano Concerto No. 1: mvt. 1
11	3	9ZX_XCYokQo	343	14	https://www.youtube.com/watch?v=9ZX_XCYokQo&start=343&end=357     	Bach: Keyboard Concerto No. 1: mvt. 1
