Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	1	MZCIBUefDHk	550.8	10	https://www.youtube.com/watch?v=MZCIBUefDHk&start=550&end=560     	Christ lag in Todesbanden
1	2	PEsfBQZXkZA	774	12	https://www.youtube.com/watch?v=PEsfBQZXkZA&start=774&end=786     	Herz und Mund und Tat und Leben - Bereite dir, Jesu, noch itzo die Bahn
1	3	3sj-NKqR0tw	8	10.3	https://www.youtube.com/watch?v=3sj-NKqR0tw&start=8&end=18        	Wachet auf, ruft uns die Stimme
1	4	3sj-NKqR0tw	894	10.2	https://www.youtube.com/watch?v=3sj-NKqR0tw&start=894&end=904     	Wachet auf, ruft uns die Stimme
1	5	PEsfBQZXkZA	1740.35	10.3	https://www.youtube.com/watch?v=PEsfBQZXkZA&start=1740&end=1750   	Herz und Mund und Tat und Leben - Jesus bleibet meine Freude
						
2	1	iPgwF3G5i4k	133	5.1	https://www.youtube.com/watch?v=iPgwF3G5i4k&start=133&end=138     	"Continuum" for harpsichord
2	2	go5UzWFT-cI	223	9.3	https://www.youtube.com/watch?v=go5UzWFT-cI&start=223&end=232     	"Nacht und Morgen"
2	3	Q6LmG9myHxA	73	10	https://www.youtube.com/watch?v=Q6LmG9myHxA&start=73&end=83       	"Devil's Staircase" etude
2	4	LufirJIGzo0	49	8	https://www.youtube.com/watch?v=LufirJIGzo0&start=49&end=57       	Six Bagatelles for wind quintet
2	5	1VUbi_jIlVQ	263.5	10.2	https://www.youtube.com/watch?v=1VUbi_jIlVQ&start=263&end=273     	Cello Sonata
						
3	1	9yT0kLA6DHA	56	10.4	https://www.youtube.com/watch?v=9yT0kLA6DHA&start=56&end=66       	Mass for four voices
3	2	hqNiVE6YEM4	0	10	https://www.youtube.com/watch?v=hqNiVE6YEM4&start=0&end=10        	The Irish March from My Lady Nevell's Book
3	3	uTDXVGNNAXQ	22	10	https://www.youtube.com/watch?v=uTDXVGNNAXQ&start=22&end=32       	Ne irascaris Domine
3	4	k7LbDnXUvXI	0.9	9	https://www.youtube.com/watch?v=k7LbDnXUvXI&start=0&end=9         	Though Amaryllis dance in green
3	5	Z2ckGcpx6xI	7.5	12	https://www.youtube.com/watch?v=Z2ckGcpx6xI&start=7&end=19        	Ave verum corpus
						
4	1	gpUBw3PYNFk	1254	10	https://www.youtube.com/watch?v=gpUBw3PYNFk&start=1254&end=1264   	Just Charles and Cello in the Romantic Chord
4	2	ZNdgv0Yxyi0	51	10	https://www.youtube.com/watch?v=ZNdgv0Yxyi0&start=51&end=61       	B-flat Dorian Blues
4	3	nU8UHQLQ0Qs	177	9	https://www.youtube.com/watch?v=nU8UHQLQ0Qs&start=177&end=186     	The Well-Tuned Piano
4	4	7UmBTr-Kx-g	338	11	https://www.youtube.com/watch?v=7UmBTr-Kx-g&start=338&end=349     	The Second Dream of the High-Tension Line Stepdown Transformer
						
5	1	SrrGuSsDZ5w	12	10.5	https://www.youtube.com/watch?v=SrrGuSsDZ5w&start=12&end=22       	"Aria of the Snow"; The Snow Maiden
5	2	FLsu7xuMoTA	5	10	https://www.youtube.com/watch?v=FLsu7xuMoTA&start=5&end=15        	Trombone Concerto
5	3	gTG1vaEmaHk	181.75	12	https://www.youtube.com/watch?v=gTG1vaEmaHk&start=181&end=193     	Antar Symphony
5	4	bGz60CwDUh4	52	11	https://www.youtube.com/watch?v=bGz60CwDUh4&start=52&end=63       	"Procession of the Nobles" from Mlada
5	5	TPB15Ma2o48	0.66	12	https://www.youtube.com/watch?v=TPB15Ma2o48&start=0&end=12        	Scheherezade
						
6	1	0iYdFNkEq0Y	103	10	https://www.youtube.com/watch?v=0iYdFNkEq0Y&start=103&end=113     	Serves Me Right To Suffer
6	2	1kQlRQRGdfQ	40	10	https://www.youtube.com/watch?v=1kQlRQRGdfQ&start=40&end=50       	Hobo Blues
6	3	tusF57ZtyXc	19	10	https://www.youtube.com/watch?v=tusF57ZtyXc&start=19&end=29       	Boogie Chillen
6	4	X70VMrH3yBg	11	11	https://www.youtube.com/watch?v=X70VMrH3yBg&start=11&end=22       	Boom Boom
						
7	1	WwPdcaU8YJw	110	8.5	https://www.youtube.com/watch?v=WwPdcaU8YJw&start=110&end=118     	
7	2	yEs3GMEAqYA	270	10.5	https://www.youtube.com/watch?v=yEs3GMEAqYA&start=270&end=280     	
7	3	ykbjtdfdXJ4	259	8	https://www.youtube.com/watch?v=ykbjtdfdXJ4&start=259&end=267     	
7	4	yEs3GMEAqYA	355	10	https://www.youtube.com/watch?v=yEs3GMEAqYA&start=355&end=365     	
7	5	yEs3GMEAqYA	27	12	https://www.youtube.com/watch?v=yEs3GMEAqYA&start=27&end=39       	
						
8	1	QN2mgHjdgYE	31	10	https://www.youtube.com/watch?v=QN2mgHjdgYE&start=31&end=41       	
8	2	q5fsqgydEhM	103	10	https://www.youtube.com/watch?v=q5fsqgydEhM&start=103&end=113     	
8	3	LpInS9zENyM	9	10	https://www.youtube.com/watch?v=LpInS9zENyM&start=9&end=19        	
8	4	LFIwE0c-BOA	7.1	10	https://www.youtube.com/watch?v=LFIwE0c-BOA&start=7&end=17        	
8	5	Mz1oTmCZhF4	30	12	https://www.youtube.com/watch?v=Mz1oTmCZhF4&start=30&end=42       	
						
9	1	sO-YTZC-KQ8	75	8	https://www.youtube.com/watch?v=sO-YTZC-KQ8&start=75&end=83       	The End of Love
9	2	StdEBXLdNGc	0.5	12	https://www.youtube.com/watch?v=StdEBXLdNGc&start=0&end=12        	South London Forever
9	3	_kIrRooQwuk	127	8	https://www.youtube.com/watch?v=_kIrRooQwuk&start=127&end=135     	Big God
9	4	RCWnVznnWcs	73	10	https://www.youtube.com/watch?v=RCWnVznnWcs&start=73&end=83       	Shake it Out
						
10	1	5b4-rXhKpMM	450	11	https://www.youtube.com/watch?v=5b4-rXhKpMM&start=450&end=461     	
10	2	5b4-rXhKpMM	118	10	https://www.youtube.com/watch?v=5b4-rXhKpMM&start=118&end=128     	
10	3	5b4-rXhKpMM	1246	11	https://www.youtube.com/watch?v=5b4-rXhKpMM&start=1246&end=1257   	
10	4	5b4-rXhKpMM	836	10	https://www.youtube.com/watch?v=5b4-rXhKpMM&start=836&end=846     	
10	5	5b4-rXhKpMM	31	10	https://www.youtube.com/watch?v=5b4-rXhKpMM&start=31&end=41       	
