Question	Clip	YouTube video ID	Start (sec)	Length (sec)	Link	Description
1	2	UD21FG2Nmcw	31	11	https://www.youtube.com/watch?v=UD21FG2Nmcw&start=31&end=42       	Intro to Return To Forever's 500 Miles High (Flora Purim)
1	1	VHrgRcNSVUU	27	8	https://www.youtube.com/watch?v=VHrgRcNSVUU&start=27&end=35       	Marcia Maria: Colo de Rio
1	3	6LYPsQHMipo	70	8	https://www.youtube.com/watch?v=6LYPsQHMipo&start=70&end=78       	The Part in RTF's Captain Marvel where Flora Purim sings
1	4	-pJu0XjRFk0	15	8	https://www.youtube.com/watch?v=-pJu0XjRFk0&start=15&end=23       	Astrud Gilberto: Meditation (Jobim)
1	5	MxfPqIF346M	8	12	https://www.youtube.com/watch?v=MxfPqIF346M&start=8&end=20        	João Gilberto: S Wonderful (Gershwin)
1	6	keZulqPcPag	10	11	https://www.youtube.com/watch?v=keZulqPcPag&start=10&end=21       	João Gilberto: Aguas de Marco (Jobim)
1	7	So718wk426c	0.3	14.7	https://www.youtube.com/watch?v=So718wk426c&start=0&end=15        	João Gilberto: Desafinado (Jobim)
						
2	1	59til4fU1tk	16	8	https://www.youtube.com/watch?v=59til4fU1tk&start=16&end=24       	Easy Living
2	2	eRA8EOR7Nm0	0.55	15.8	https://www.youtube.com/watch?v=eRA8EOR7Nm0&start=0&end=16        	Lee Morgan: I Remember Clifford
2	3	M283JFxesic	77	6	https://www.youtube.com/watch?v=M283JFxesic&start=77&end=83       	Solo on Cherokee
2	4	M283JFxesic	33	11	https://www.youtube.com/watch?v=M283JFxesic&start=33&end=44       	his version of Cherokee
2	5	bl256T2culA	0.3	10	https://www.youtube.com/watch?v=bl256T2culA&start=0&end=10        	Sandu
2	6	dnK6OHPQZbA	11	10	https://www.youtube.com/watch?v=dnK6OHPQZbA&start=11&end=21       	Joy Spring
						
3	1	Mph27SQ1fhE	1.2	13.8	https://www.youtube.com/watch?v=Mph27SQ1fhE&start=1&end=15        	Severn Suite, Op. 87: I. Introduction (Worcester Castle)
3	2	hOpiAxga3Ts	1673	10	https://www.youtube.com/watch?v=hOpiAxga3Ts&start=1673&end=1683   	Piano Quintet, Op. 84: III. Allegro
3	3	hOpiAxga3Ts	840	15	https://www.youtube.com/watch?v=hOpiAxga3Ts&start=840&end=855     	Piano Quintet, Op. 84: II. Adagio
3	4	hOpiAxga3Ts	352	10	https://www.youtube.com/watch?v=hOpiAxga3Ts&start=352&end=362     	Piano Quintet, Op. 84: I. Moderato (Fugato)
3	5	KO8CAwVQDLQ	235	10	https://www.youtube.com/watch?v=KO8CAwVQDLQ&start=235&end=245     	The Dream of Gerontius, Op. 38: Softly and Gently
3	6	Vim-sdcoBgU	3	10	https://www.youtube.com/watch?v=Vim-sdcoBgU&start=3&end=13        	The Dream of Gerontius, Op. 38: Jesu Maria…
3	7	sUgoBb8m1eE	15.5	10	https://www.youtube.com/watch?v=sUgoBb8m1eE&start=15&end=25       	Enigma Variations, Op. 36: IX. Nimrod
						
4	1	E-gP1Cb4S_o	6.8	11	https://www.youtube.com/watch?v=E-gP1Cb4S_o&start=6&end=17        	Carlo Gesualdo: Tenebrae Responsories Sicut ovis ad occisionem
4	2	3hPkJW95jsw	753	14	https://www.youtube.com/watch?v=3hPkJW95jsw&start=753&end=767     	Stockhausen: Stimmung
4	3	BZd5yBTS6zc	11	13	https://www.youtube.com/watch?v=BZd5yBTS6zc&start=11&end=24       	Tomás Victoria: O Sacrum Convivium a 6
4	4	-xQAul5evys	2	9	https://www.youtube.com/watch?v=-xQAul5evys&start=2&end=11        	Tchaikovsky: String Sextet in D minor, Op. 70 (Souvenir de Florence)
4	5	U-pVz2LTakM	129	15	https://www.youtube.com/watch?v=U-pVz2LTakM&start=129&end=144     	Schoenberg: Verklarte Nacht, Op. 4
4	6	KYouXtuk0T8	10.5	14	https://www.youtube.com/watch?v=KYouXtuk0T8&start=10&end=24       	J. S. Bach: Ricercar a 6 from The Musical Offering, BWV 1079
						
